LoopName,thisN,thisTrialN,thisRepN,px1,px2,px3,px4,py1,py2,py3,py4,key_resp_4.keys,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,key_resp_4.rt,key_resp_4.duration,key_resp_6.keys,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,key_resp_6.rt,key_resp_6.duration,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,loop_1.thisRepN,loop_1.thisTrialN,loop_1.thisN,loop_1.thisIndex,loop_2.thisRepN,loop_2.thisTrialN,loop_2.thisN,loop_2.thisIndex,loop_3.thisRepN,loop_3.thisTrialN,loop_3.thisN,loop_3.thisIndex,loop_4.thisRepN,loop_4.thisTrialN,loop_4.thisN,loop_4.thisIndex,loop_5.thisRepN,loop_5.thisTrialN,loop_5.thisN,loop_5.thisIndex,loop_6.thisRepN,loop_6.thisTrialN,loop_6.thisN,loop_6.thisIndex,loop_7.thisRepN,loop_7.thisTrialN,loop_7.thisN,loop_7.thisIndex,loop_8.thisRepN,loop_8.thisTrialN,loop_8.thisN,loop_8.thisIndex,loop_9.thisRepN,loop_9.thisTrialN,loop_9.thisN,loop_9.thisIndex,loop_10.thisRepN,loop_10.thisTrialN,loop_10.thisN,loop_10.thisIndex,loop_11.thisRepN,loop_11.thisTrialN,loop_11.thisN,loop_11.thisIndex,loop_12.thisRepN,loop_12.thisTrialN,loop_12.thisN,loop_12.thisIndex,thisRow.t,notes,codigo.started,codigo.stopped,trial_3.started,image_5.started,image_6.started,polygon_3.started,key_resp_4.started,trial_3.stopped,loop_5.key_resp_4.keys,trial_4.started,image_7.started,image_8.started,polygon_4.started,key_resp_5.started,trial_4.stopped,loop_5.key_resp_5.keys,loop_5.key_resp_5.rt,loop_5.key_resp_5.duration,loop_5.key_resp_4.rt,loop_5.key_resp_4.duration,image_7.stopped,image_8.stopped,polygon_4.stopped,key_resp_5.stopped,image_5.stopped,image_6.stopped,polygon_3.stopped,key_resp_4.stopped,_intertrial_interval_.started,polygon_5.started,_intertrial_interval_.stopped,trial_5.started,image_9.started,polygon_6.started,image_10.started,key_resp_6.started,trial_5.stopped,loop_12.key_resp_6.keys,trial_6.started,image_11.started,image_12.started,polygon_7.started,key_resp_7.started,trial_6.stopped,loop_12.key_resp_7.keys,loop_12.key_resp_7.rt,loop_12.key_resp_7.duration,loop_12.key_resp_6.rt,loop_12.key_resp_6.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Estimulo_5,0,0,0,4.4,-4.4,4.4,-4.4,2.2,-2.2,-2.2,2.2,None,None,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1479467999999997,,0.03216299999996863,0.03248689999998078,0.13116179999997257,0.1479467999999997,0.1479467999999997,0.1479467999999997,0.1479467999999997,0.33320549999996274,None,0.33342899999991005,0.3477475999999342,0.3477475999999342,0.3477475999999342,0.3477475999999342,0.6333489999999529,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,048900,001,2025-03-24_15h50.03.676,Estimulo_ICE,2024.2.4,59.983864340485404,2025-03-24 15h50.21.695295 -0300,
Estimulo_5,1,1,0,4.3,-4.3,4.3,-4.3,2.2,-2.2,-2.2,2.2,None,None,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6476748000000043,,,,0.6337042999999767,0.6476748000000043,0.6476748000000043,0.6476748000000043,0.6476748000000043,0.9332956999999169,None,0.9335434999999279,0.9478035999999292,0.9478035999999292,0.9478035999999292,0.9478035999999292,1.2331475999999384,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,048900,001,2025-03-24_15h50.03.676,Estimulo_ICE,2024.2.4,59.983864340485404,2025-03-24 15h50.21.695295 -0300,
Estimulo_5,2,2,0,4.2,-4.2,4.2,-4.2,2.2,-2.2,-2.2,2.2,None,None,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2478532999999743,,,,1.2334961999999905,1.2478532999999743,1.2478532999999743,1.2478532999999743,1.2478532999999743,1.5332065999999713,None,1.5334517000000005,1.5476939999999786,1.5476939999999786,1.5476939999999786,1.5476939999999786,1.8331582999999227,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,048900,001,2025-03-24_15h50.03.676,Estimulo_ICE,2024.2.4,59.983864340485404,2025-03-24 15h50.21.695295 -0300,
Estimulo_5,3,3,0,4.1,-4.1,4.1,-4.1,2.2,-2.2,-2.2,2.2,None,['up'],[0.21816680000006272],[None],,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8477300999999215,,,,1.8335115999999516,1.8477300999999215,1.8477300999999215,1.8477300999999215,1.8477300999999215,2.1332007999999405,None,2.1334439999999404,2.147772699999905,2.147772699999905,2.147772699999905,2.147772699999905,2.4660140999999385,['up'],[0.21816680000006272],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,048900,001,2025-03-24_15h50.03.676,Estimulo_ICE,2024.2.4,59.983864340485404,2025-03-24 15h50.21.695295 -0300,
Estimulo_5,4,4,0,4,-4,4,-4,2.2,-2.2,-2.2,2.2,None,None,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.481033899999943,,,,2.466391299999941,2.481033899999943,2.481033899999943,2.481033899999943,2.481033899999943,2.733277199999975,None,2.733523899999909,2.7476998999999296,2.7476998999999296,2.7476998999999296,2.7476998999999296,3.0331646999999293,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,048900,001,2025-03-24_15h50.03.676,Estimulo_ICE,2024.2.4,59.983864340485404,2025-03-24 15h50.21.695295 -0300,
Estimulo_5,5,5,0,3.9,-3.9,3.9,-3.9,2.2,-2.2,-2.2,2.2,None,None,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.047700099999929,,,,3.033519799999908,3.047700099999929,3.047700099999929,3.047700099999929,3.047700099999929,3.3332689000000073,None,3.333513699999912,3.347764199999915,3.347764199999915,3.347764199999915,3.347764199999915,3.6333521999999903,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,048900,001,2025-03-24_15h50.03.676,Estimulo_ICE,2024.2.4,59.983864340485404,2025-03-24 15h50.21.695295 -0300,
Estimulo_5,6,6,0,3.8,-3.8,3.8,-3.8,2.2,-2.2,-2.2,2.2,None,['up'],[0.050647799999978815],[0.16796639999995477],,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.647653099999957,,,,3.6337014999999155,3.647653099999957,3.647653099999957,3.647653099999957,3.647653099999957,3.933373999999958,None,3.9336218999999346,3.947792599999957,3.947792599999957,3.947792599999957,3.947792599999957,4.233324599999946,['up'],[0.050647799999978815],[0.16796639999995477],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,048900,001,2025-03-24_15h50.03.676,Estimulo_ICE,2024.2.4,59.983864340485404,2025-03-24 15h50.21.695295 -0300,
Estimulo_5,7,7,0,3.7,-3.7,3.7,-3.7,2.2,-2.2,-2.2,2.2,['up'],['up'],[0.21823239999991983],[None],[0.07056760000000395],[0.08025830000008227],,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.24762219999991,,,,4.233699799999954,4.24762219999991,4.24762219999991,4.24762219999991,4.24762219999991,4.533234899999911,['up'],4.533504099999959,4.547712199999978,4.547712199999978,4.547712199999978,4.547712199999978,4.833390699999995,['up'],[0.21823239999991983],[None],[0.07056760000000395],[0.08025830000008227],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,048900,001,2025-03-24_15h50.03.676,Estimulo_ICE,2024.2.4,59.983864340485404,2025-03-24 15h50.21.695295 -0300,
Estimulo_5,8,8,0,3.6,-3.6,3.6,-3.6,2.2,-2.2,-2.2,2.2,['up'],None,,,[0.2073360000000548],[None],,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.847701499999971,,,,4.833768299999974,4.847701499999971,4.847701499999971,4.847701499999971,4.847701499999971,5.120873599999982,['up'],5.121460799999909,5.131971099999987,5.131971099999987,5.131971099999987,5.131971099999987,5.420438999999988,None,,,[0.2073360000000548],[None],5.431955499999958,5.431955499999958,5.431955499999958,5.431955499999958,,,,,,,,,,,,,,,,,,,,,,,,,,048900,001,2025-03-24_15h50.03.676,Estimulo_ICE,2024.2.4,59.983864340485404,2025-03-24 15h50.21.695295 -0300,
Estimulo_5,9,9,0,3.5,-3.5,3.5,-3.5,2.2,-2.2,-2.2,2.2,['right'],None,,,[0.07009770000001936],[0.14419069999996736],,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.431955499999958,,,,5.421198199999935,5.431955499999958,5.431955499999958,5.431955499999958,5.431955499999958,5.720542399999999,['right'],5.721178399999985,5.732111699999905,5.732111699999905,5.732111699999905,5.732111699999905,6.01788549999992,None,,,[0.07009770000001936],[0.14419069999996736],6.032332499999939,6.032332499999939,6.032332499999939,6.032332499999939,5.732111699999905,5.732111699999905,5.732111699999905,5.732111699999905,,,,,,,,,,,,,,,,,,,,,,048900,001,2025-03-24_15h50.03.676,Estimulo_ICE,2024.2.4,59.983864340485404,2025-03-24 15h50.21.695295 -0300,
