LoopName,thisN,thisTrialN,thisRepN,px1,px2,px3,px4,py1,py2,py3,py4,key_resp_4.keys,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,key_resp_4.rt,key_resp_4.duration,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,loop_1.thisRepN,loop_1.thisTrialN,loop_1.thisN,loop_1.thisIndex,loop_2.thisRepN,loop_2.thisTrialN,loop_2.thisN,loop_2.thisIndex,loop_3.thisRepN,loop_3.thisTrialN,loop_3.thisN,loop_3.thisIndex,loop_4.thisRepN,loop_4.thisTrialN,loop_4.thisN,loop_4.thisIndex,loop_5.thisRepN,loop_5.thisTrialN,loop_5.thisN,loop_5.thisIndex,loop_6.thisRepN,loop_6.thisTrialN,loop_6.thisN,loop_6.thisIndex,loop_7.thisRepN,loop_7.thisTrialN,loop_7.thisN,loop_7.thisIndex,loop_8.thisRepN,loop_8.thisTrialN,loop_8.thisN,loop_8.thisIndex,loop_9.thisRepN,loop_9.thisTrialN,loop_9.thisN,loop_9.thisIndex,loop_10.thisRepN,loop_10.thisTrialN,loop_10.thisN,loop_10.thisIndex,loop_11.thisRepN,loop_11.thisTrialN,loop_11.thisN,loop_11.thisIndex,loop_12.thisRepN,loop_12.thisTrialN,loop_12.thisN,loop_12.thisIndex,thisRow.t,notes,codigo.started,codigo.stopped,trial_3.started,image_5.started,image_6.started,polygon_3.started,key_resp_4.started,trial_3.stopped,loop_5.key_resp_4.keys,trial_4.started,image_7.started,image_8.started,polygon_4.started,key_resp_5.started,image_7.stopped,image_8.stopped,polygon_4.stopped,key_resp_5.stopped,trial_4.stopped,loop_5.key_resp_5.keys,image_5.stopped,image_6.stopped,polygon_3.stopped,key_resp_4.stopped,loop_5.key_resp_5.rt,loop_5.key_resp_5.duration,loop_5.key_resp_4.rt,loop_5.key_resp_4.duration,_intertrial_interval_.started,polygon_5.started,_intertrial_interval_.stopped,trial.started,image.started,image_2.started,polygon.started,key_resp_2.started,trial.stopped,loop_4.key_resp_2.keys,loop_4.key_resp_2.rt,loop_4.key_resp_2.duration,trial_2.started,image_3.started,image_4.started,polygon_2.started,key_resp_3.started,trial_2.stopped,loop_4.key_resp_3.keys,loop_4.key_resp_3.rt,loop_4.key_resp_3.duration,image.stopped,image_2.stopped,polygon.stopped,key_resp_2.stopped,image_3.stopped,image_4.stopped,polygon_2.stopped,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Estimulo_5,0,0,0,4.4,-4.4,4.4,-4.4,2.2,-2.2,-2.2,2.2,None,None,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14376900000002024,,0.02865699999995286,0.02900160000001506,0.1295953000000054,0.14376900000002024,0.14376900000002024,0.14376900000002024,0.14376900000002024,0.3296448999999484,None,0.32988750000004075,0.3433446000000231,0.3433446000000231,0.3433446000000231,0.3433446000000231,0.6434103000000277,0.6434103000000277,0.6434103000000277,0.6434103000000277,0.6292793999999731,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145689,001,2025-03-26_15h27.49.202,Estimulo_ICE,2024.2.4,60.03071171209716,2025-03-26 15h28.12.315012 -0300,
Estimulo_5,1,1,0,4.3,-4.3,4.3,-4.3,2.2,-2.2,-2.2,2.2,None,None,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6434103000000277,,,,0.6297624000000042,0.6434103000000277,0.6434103000000277,0.6434103000000277,0.6434103000000277,0.9293069000000287,None,0.9295607000000246,0.9433586999999761,0.9433586999999761,0.9433586999999761,0.9433586999999761,1.2432092000000239,1.2432092000000239,1.2432092000000239,1.2432092000000239,1.2294021999999813,None,0.9433586999999761,0.9433586999999761,0.9433586999999761,0.9433586999999761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145689,001,2025-03-26_15h27.49.202,Estimulo_ICE,2024.2.4,60.03071171209716,2025-03-26 15h28.12.315012 -0300,
Estimulo_5,2,2,0,4.2,-4.2,4.2,-4.2,2.2,-2.2,-2.2,2.2,None,None,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2432092000000239,,,,1.2297757000000047,1.2432092000000239,1.2432092000000239,1.2432092000000239,1.2432092000000239,1.5293422999999393,None,1.5296044000000393,1.5433792999999696,1.5433792999999696,1.5433792999999696,1.5433792999999696,1.8433648999999832,1.8433648999999832,1.8433648999999832,1.8433648999999832,1.8293222999999443,None,1.5433792999999696,1.5433792999999696,1.5433792999999696,1.5433792999999696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145689,001,2025-03-26_15h27.49.202,Estimulo_ICE,2024.2.4,60.03071171209716,2025-03-26 15h28.12.315012 -0300,
Estimulo_5,3,3,0,4.1,-4.1,4.1,-4.1,2.2,-2.2,-2.2,2.2,None,None,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8433648999999832,,,,1.829692199999954,1.8433648999999832,1.8433648999999832,1.8433648999999832,1.8433648999999832,2.12932330000001,None,2.129576400000019,2.1432221999999683,2.1432221999999683,2.1432221999999683,2.1432221999999683,2.4432511999999633,2.4432511999999633,2.4432511999999633,2.4432511999999633,2.4291554000000133,None,2.1432221999999683,2.1432221999999683,2.1432221999999683,2.1432221999999683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145689,001,2025-03-26_15h27.49.202,Estimulo_ICE,2024.2.4,60.03071171209716,2025-03-26 15h28.12.315012 -0300,
Estimulo_5,4,4,0,4,-4,4,-4,2.2,-2.2,-2.2,2.2,None,None,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4432511999999633,,,,2.429517799999985,2.4432511999999633,2.4432511999999633,2.4432511999999633,2.4432511999999633,2.729258800000025,None,2.729520999999977,2.743457000000035,2.743457000000035,2.743457000000035,2.743457000000035,3.0433914000000186,3.0433914000000186,3.0433914000000186,3.0433914000000186,3.0293427000000293,None,2.743457000000035,2.743457000000035,2.743457000000035,2.743457000000035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145689,001,2025-03-26_15h27.49.202,Estimulo_ICE,2024.2.4,60.03071171209716,2025-03-26 15h28.12.315012 -0300,
Estimulo_5,5,5,0,3.9,-3.9,3.9,-3.9,2.2,-2.2,-2.2,2.2,None,None,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0433914000000186,,,,3.0297110000000202,3.0433914000000186,3.0433914000000186,3.0433914000000186,3.0433914000000186,3.3290852999999743,None,3.3293290999999954,3.3435051999999814,3.3435051999999814,3.3435051999999814,3.3435051999999814,3.643240399999968,3.643240399999968,3.643240399999968,3.643240399999968,3.6292759000000387,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145689,001,2025-03-26_15h27.49.202,Estimulo_ICE,2024.2.4,60.03071171209716,2025-03-26 15h28.12.315012 -0300,
Estimulo_5,6,6,0,3.8,-3.8,3.8,-3.8,2.2,-2.2,-2.2,2.2,None,None,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.643240399999968,,,,3.629645099999948,3.643240399999968,3.643240399999968,3.643240399999968,3.643240399999968,3.929298700000004,None,3.9295601000000033,3.943208000000027,3.943208000000027,3.943208000000027,3.943208000000027,,,,,4.21832710000001,None,3.943208000000027,3.943208000000027,3.943208000000027,3.943208000000027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145689,001,2025-03-26_15h27.49.202,Estimulo_ICE,2024.2.4,60.03071171209716,2025-03-26 15h28.12.315012 -0300,
Estimulo_5,7,7,0,3.7,-3.7,3.7,-3.7,2.2,-2.2,-2.2,2.2,None,['right'],[0.11174070000004122],[0.10394019999989723],,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.22800380000001,,,,4.2192413000000215,4.22800380000001,4.22800380000001,4.22800380000001,4.22800380000001,4.529319200000032,None,4.529581199999939,4.5434616000000005,4.5434616000000005,4.5434616000000005,4.5434616000000005,4.8433390000000145,4.8433390000000145,4.8433390000000145,4.8433390000000145,4.829161099999965,['right'],4.5434616000000005,4.5434616000000005,4.5434616000000005,4.5434616000000005,[0.11174070000004122],[0.10394019999989723],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145689,001,2025-03-26_15h27.49.202,Estimulo_ICE,2024.2.4,60.03071171209716,2025-03-26 15h28.12.315012 -0300,
Estimulo_5,8,8,0,3.6,-3.6,3.6,-3.6,2.2,-2.2,-2.2,2.2,None,None,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.8433390000000145,,,,4.829518199999939,4.8433390000000145,4.8433390000000145,4.8433390000000145,4.8433390000000145,5.129294899999991,None,5.129550900000027,5.1433627000000115,5.1433627000000115,5.1433627000000115,5.1433627000000115,5.44320689999995,5.44320689999995,5.44320689999995,5.44320689999995,5.429284199999984,None,5.1433627000000115,5.1433627000000115,5.1433627000000115,5.1433627000000115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145689,001,2025-03-26_15h27.49.202,Estimulo_ICE,2024.2.4,60.03071171209716,2025-03-26 15h28.12.315012 -0300,
Estimulo_5,9,9,0,3.5,-3.5,3.5,-3.5,2.2,-2.2,-2.2,2.2,None,None,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.44320689999995,,,,5.42965700000002,5.44320689999995,5.44320689999995,5.44320689999995,5.44320689999995,5.729143000000022,None,5.72938750000003,5.743391200000019,5.743391200000019,5.743391200000019,5.743391200000019,6.043438100000003,6.043438100000003,6.043438100000003,6.043438100000003,6.029206799999997,None,5.743391200000019,5.743391200000019,5.743391200000019,5.743391200000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145689,001,2025-03-26_15h27.49.202,Estimulo_ICE,2024.2.4,60.03071171209716,2025-03-26 15h28.12.315012 -0300,
Estimulo_5,10,10,0,3.39999999999999,-3.39999999999999,3.39999999999999,-3.39999999999999,2.2,-2.2,-2.2,2.2,None,None,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.043438100000003,,,,6.029578300000026,6.043438100000003,6.043438100000003,6.043438100000003,6.043438100000003,6.329177100000038,None,6.329432300000008,6.343134599999985,6.343134599999985,6.343134599999985,6.343134599999985,6.643403599999942,6.643403599999942,6.643403599999942,6.643403599999942,6.629226099999983,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145689,001,2025-03-26_15h27.49.202,Estimulo_ICE,2024.2.4,60.03071171209716,2025-03-26 15h28.12.315012 -0300,
Estimulo_5,11,11,0,3.29999999999999,-3.29999999999999,3.29999999999999,-3.29999999999999,2.2,-2.2,-2.2,2.2,None,None,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.643403599999942,,,,6.629600799999935,6.643403599999942,6.643403599999942,6.643403599999942,6.643403599999942,6.919773899999996,None,6.9205422,6.92855510000004,6.92855510000004,6.92855510000004,6.92855510000004,,,,,7.230955399999971,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145689,001,2025-03-26_15h27.49.202,Estimulo_ICE,2024.2.4,60.03071171209716,2025-03-26 15h28.12.315012 -0300,
Estimulo_5,12,12,0,3.19999999999999,-3.19999999999999,3.19999999999999,-3.19999999999999,2.2,-2.2,-2.2,2.2,None,None,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.243853700000045,,,,7.231563199999982,7.243853700000045,7.243853700000045,7.243853700000045,7.243853700000045,7.5311040000000276,None,7.531532800000036,7.543873100000042,7.543873100000042,7.543873100000042,7.543873100000042,,,,,7.832175499999948,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145689,001,2025-03-26_15h27.49.202,Estimulo_ICE,2024.2.4,60.03071171209716,2025-03-26 15h28.12.315012 -0300,
Estimulo_5,13,13,0,3.09999999999999,-3.09999999999999,3.09999999999999,-3.09999999999999,2.2,-2.2,-2.2,2.2,None,['right'],[0.024153599999976905],[0.1196688999999651],,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.84340480000003,,,,7.832789000000048,7.84340480000003,7.84340480000003,7.84340480000003,7.84340480000003,8.129220300000043,None,8.12948229999995,8.14350939999997,8.14350939999997,8.14350939999997,8.14350939999997,8.443298599999935,8.443298599999935,8.443298599999935,8.443298599999935,8.429036399999973,['right'],8.14350939999997,8.14350939999997,8.14350939999997,8.14350939999997,[0.024153599999976905],[0.1196688999999651],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145689,001,2025-03-26_15h27.49.202,Estimulo_ICE,2024.2.4,60.03071171209716,2025-03-26 15h28.12.315012 -0300,
Estimulo_5,14,14,0,2.99999999999999,-2.99999999999999,2.99999999999999,-2.99999999999999,2.2,-2.2,-2.2,2.2,['right'],None,,,[0.17145490000007158],[None],,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.443298599999935,,,,8.429402699999969,8.443298599999935,8.443298599999935,8.443298599999935,8.443298599999935,8.732037300000002,['right'],8.73260049999999,8.744553099999962,8.744553099999962,8.744553099999962,8.744553099999962,,,,,9.029594699999961,None,,,,,,,[0.17145490000007158],[None],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145689,001,2025-03-26_15h27.49.202,Estimulo_ICE,2024.2.4,60.03071171209716,2025-03-26 15h28.12.315012 -0300,
Estimulo_5,15,15,0,2.89999999999999,-2.89999999999999,2.89999999999999,-2.89999999999999,2.2,-2.2,-2.2,2.2,None,None,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.04370849999998,,,,9.029929299999935,9.04370849999998,9.04370849999998,9.04370849999998,9.04370849999998,9.330588599999942,None,9.330967999999984,9.343770699999936,9.343770699999936,9.343770699999936,9.343770699999936,,,,,9.630140299999994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145689,001,2025-03-26_15h27.49.202,Estimulo_ICE,2024.2.4,60.03071171209716,2025-03-26 15h28.12.315012 -0300,
Estimulo_5,16,16,0,2.79999999999999,-2.79999999999999,2.79999999999999,-2.79999999999999,2.2,-2.2,-2.2,2.2,None,None,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.643580799999995,,,,9.630644899999993,9.643580799999995,9.643580799999995,9.643580799999995,9.643580799999995,9.929241100000013,None,9.929502100000036,9.943293100000005,9.943293100000005,9.943293100000005,9.943293100000005,10.243328899999938,10.243328899999938,10.243328899999938,10.243328899999938,10.229068900000016,None,9.943293100000005,9.943293100000005,9.943293100000005,9.943293100000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145689,001,2025-03-26_15h27.49.202,Estimulo_ICE,2024.2.4,60.03071171209716,2025-03-26 15h28.12.315012 -0300,
Estimulo_5,17,17,0,2.69999999999999,-2.69999999999999,2.69999999999999,-2.69999999999999,2.2,-2.2,-2.2,2.2,['right'],None,,,[0.011767000000077132],[0.12024599999995189],,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.243328899999938,,,,10.229440599999975,10.243328899999938,10.243328899999938,10.243328899999938,10.243328899999938,10.529091300000005,['right'],10.529380800000013,10.543403499999954,10.543403499999954,10.543403499999954,10.543403499999954,10.843160699999999,10.843160699999999,10.843160699999999,10.843160699999999,10.829335700000001,None,10.543403499999954,10.543403499999954,10.543403499999954,10.543403499999954,,,[0.011767000000077132],[0.12024599999995189],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145689,001,2025-03-26_15h27.49.202,Estimulo_ICE,2024.2.4,60.03071171209716,2025-03-26 15h28.12.315012 -0300,
Estimulo_5,18,18,0,2.59999999999999,-2.59999999999999,2.59999999999999,-2.59999999999999,2.2,-2.2,-2.2,2.2,None,None,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.843160699999999,,,,10.829696499999955,10.843160699999999,10.843160699999999,10.843160699999999,10.843160699999999,11.12918239999999,None,11.129445199999964,11.143323799999962,11.143323799999962,11.143323799999962,11.143323799999962,11.443332299999952,11.443332299999952,11.443332299999952,11.443332299999952,11.429171999999994,None,11.143323799999962,11.143323799999962,11.143323799999962,11.143323799999962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145689,001,2025-03-26_15h27.49.202,Estimulo_ICE,2024.2.4,60.03071171209716,2025-03-26 15h28.12.315012 -0300,
Estimulo_5,19,19,0,2.49999999999999,-2.49999999999999,2.49999999999999,-2.49999999999999,2.2,-2.2,-2.2,2.2,None,None,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.443332299999952,,,,11.429544599999986,11.443332299999952,11.443332299999952,11.443332299999952,11.443332299999952,11.729899199999977,None,11.730149299999994,11.743365899999958,11.743365899999958,11.743365899999958,11.743365899999958,12.043199100000038,12.043199100000038,12.043199100000038,12.043199100000038,12.029396600000041,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145689,001,2025-03-26_15h27.49.202,Estimulo_ICE,2024.2.4,60.03071171209716,2025-03-26 15h28.12.315012 -0300,
Estimulo_5,20,20,0,2.39999999999999,-2.39999999999999,2.39999999999999,-2.39999999999999,2.2,-2.2,-2.2,2.2,None,None,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.043199100000038,,,,12.029769699999974,12.043199100000038,12.043199100000038,12.043199100000038,12.043199100000038,12.329113900000038,None,12.329367299999944,12.343225200000006,12.343225200000006,12.343225200000006,12.343225200000006,12.643297399999938,12.643297399999938,12.643297399999938,12.643297399999938,12.629207500000007,None,12.343225200000006,12.343225200000006,12.343225200000006,12.343225200000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145689,001,2025-03-26_15h27.49.202,Estimulo_ICE,2024.2.4,60.03071171209716,2025-03-26 15h28.12.315012 -0300,
Estimulo_5,21,21,0,2.29999999999999,-2.29999999999999,2.29999999999999,-2.29999999999999,2.2,-2.2,-2.2,2.2,None,None,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.643297399999938,,,,12.629578199999969,12.643297399999938,12.643297399999938,12.643297399999938,12.643297399999938,12.92914189999999,None,12.929403500000035,12.94314810000003,12.94314810000003,12.94314810000003,12.94314810000003,13.243916300000024,13.243916300000024,13.243916300000024,13.243916300000024,13.229138499999976,None,12.94314810000003,12.94314810000003,12.94314810000003,12.94314810000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145689,001,2025-03-26_15h27.49.202,Estimulo_ICE,2024.2.4,60.03071171209716,2025-03-26 15h28.12.315012 -0300,
Estimulo_5,22,22,0,2.19999999999999,-2.19999999999999,2.19999999999999,-2.19999999999999,2.2,-2.2,-2.2,2.2,None,None,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.243916300000024,,,,13.229487199999994,13.243916300000024,13.243916300000024,13.243916300000024,13.243916300000024,13.531134899999984,None,13.531553599999938,13.54353059999994,13.54353059999994,13.54353059999994,13.54353059999994,,,,,13.82919579999998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145689,001,2025-03-26_15h27.49.202,Estimulo_ICE,2024.2.4,60.03071171209716,2025-03-26 15h28.12.315012 -0300,
