LoopName,thisN,thisTrialN,thisRepN,px1,px2,px3,px4,py1,py2,py3,py4,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,loop_1.thisRepN,loop_1.thisTrialN,loop_1.thisN,loop_1.thisIndex,loop_2.thisRepN,loop_2.thisTrialN,loop_2.thisN,loop_2.thisIndex,loop_3.thisRepN,loop_3.thisTrialN,loop_3.thisN,loop_3.thisIndex,loop_4.thisRepN,loop_4.thisTrialN,loop_4.thisN,loop_4.thisIndex,loop_5.thisRepN,loop_5.thisTrialN,loop_5.thisN,loop_5.thisIndex,loop_6.thisRepN,loop_6.thisTrialN,loop_6.thisN,loop_6.thisIndex,loop_7.thisRepN,loop_7.thisTrialN,loop_7.thisN,loop_7.thisIndex,loop_8.thisRepN,loop_8.thisTrialN,loop_8.thisN,loop_8.thisIndex,loop_9.thisRepN,loop_9.thisTrialN,loop_9.thisN,loop_9.thisIndex,loop_10.thisRepN,loop_10.thisTrialN,loop_10.thisN,loop_10.thisIndex,loop_11.thisRepN,loop_11.thisTrialN,loop_11.thisN,loop_11.thisIndex,loop_12.thisRepN,loop_12.thisTrialN,loop_12.thisN,loop_12.thisIndex,thisRow.t,notes,codigo.started,codigo.stopped,trial_3.started,image_5.started,image_6.started,polygon_3.started,trial_3.stopped,trial_4.started,image_7.started,image_8.started,polygon_4.started,image_7.stopped,image_8.stopped,polygon_4.stopped,trial_4.stopped,image_5.stopped,image_6.stopped,polygon_3.stopped,_intertrial_interval_.started,polygon_5.started,_intertrial_interval_.stopped,trial.started,image.started,image_2.started,polygon.started,trial.stopped,trial_2.started,image_3.started,image_4.started,polygon_2.started,trial_2.stopped,image.stopped,image_2.stopped,polygon.stopped,image_3.stopped,image_4.stopped,polygon_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Estimulo_6,0,0,0,1.1,-1.1,1.1,-1.1,2.2,-2.2,-2.2,2.2,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.10973109997576103,,0.017831799981649965,0.018147399998269975,0.09241260000271723,0.10973109997576103,0.10973109997576103,0.10973109997576103,0.31386390002444386,0.3142973000067286,0.3266566999955103,0.3266566999955103,0.3266566999955103,0.6267106999875978,0.6267106999875978,0.6267106999875978,0.614899999985937,,,,,,,,,,,,,,,,,,,,,,,284399,001,2025-03-20_15h50.51.077,Estimulo_ICE,2024.2.4,59.98436808732614,2025-03-20 15h50.56.580611 -0300,
Estimulo_6,1,1,0,1.2,-1.2,1.2,-1.2,2.2,-2.2,-2.2,2.2,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,0.6267106999875978,,,,0.615576800017152,0.6267106999875978,0.6267106999875978,0.6267106999875978,0.9146569999866188,0.9151249999995343,0.9266711000236683,0.9266711000236683,0.9266711000236683,1.226089600007981,1.226089600007981,1.226089600007981,1.2121352999820374,0.9266711000236683,0.9266711000236683,0.9266711000236683,,,,,,,,,,,,,,,,,,,,284399,001,2025-03-20_15h50.51.077,Estimulo_ICE,2024.2.4,59.98436808732614,2025-03-20 15h50.56.580611 -0300,
Estimulo_6,2,2,0,1.3,-1.3,1.3,-1.3,2.2,-2.2,-2.2,2.2,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,1.226089600007981,,,,1.2125262999907136,1.226089600007981,1.226089600007981,1.226089600007981,1.5120779999997467,1.512352199992165,1.5259731999831274,1.5259731999831274,1.5259731999831274,1.8259448999888264,1.8259448999888264,1.8259448999888264,1.81221220002044,1.5259731999831274,1.5259731999831274,1.5259731999831274,,,,,,,,,,,,,,,,,,,,284399,001,2025-03-20_15h50.51.077,Estimulo_ICE,2024.2.4,59.98436808732614,2025-03-20 15h50.56.580611 -0300,
Estimulo_6,3,3,0,1.4,-1.4,1.4,-1.4,2.2,-2.2,-2.2,2.2,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,1.8259448999888264,,,,1.8126088000135496,1.8259448999888264,1.8259448999888264,1.8259448999888264,2.1121724999975413,2.1124443000298925,2.125807599979453,2.125807599979453,2.125807599979453,2.427100299973972,2.427100299973972,2.427100299973972,2.417381800012663,2.125807599979453,2.125807599979453,2.125807599979453,,,,,,,,,,,,,,,,,,,,284399,001,2025-03-20_15h50.51.077,Estimulo_ICE,2024.2.4,59.98436808732614,2025-03-20 15h50.56.580611 -0300,
Estimulo_6,4,4,0,1.5,-1.5,1.5,-1.5,2.2,-2.2,-2.2,2.2,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,2.427100299973972,,,,2.418374600005336,2.427100299973972,2.427100299973972,2.427100299973972,2.711892999999691,2.712148300022818,2.7258900000015274,2.7258900000015274,2.7258900000015274,3.0259736999869347,3.0259736999869347,3.0259736999869347,3.0119338000076823,,,,,,,,,,,,,,,,,,,,,,,284399,001,2025-03-20_15h50.51.077,Estimulo_ICE,2024.2.4,59.98436808732614,2025-03-20 15h50.56.580611 -0300,
Estimulo_6,5,5,0,1.6,-1.6,1.6,-1.6,2.2,-2.2,-2.2,2.2,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,3.0259736999869347,,,,3.012301500013564,3.0259736999869347,3.0259736999869347,3.0259736999869347,3.3119175999891013,3.3121718000038527,3.3259076999966055,3.3259076999966055,3.3259076999966055,3.62595890002558,3.62595890002558,3.62595890002558,3.6124410000047646,3.3259076999966055,3.3259076999966055,3.3259076999966055,,,,,,,,,,,,,,,,,,,,284399,001,2025-03-20_15h50.51.077,Estimulo_ICE,2024.2.4,59.98436808732614,2025-03-20 15h50.56.580611 -0300,
Estimulo_6,6,6,0,1.7,-1.7,1.7,-1.7,2.2,-2.2,-2.2,2.2,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,3.62595890002558,,,,3.6128092000144534,3.62595890002558,3.62595890002558,3.62595890002558,3.9119790000258945,3.912232899980154,3.925922000024002,3.925922000024002,3.925922000024002,4.227648500003852,4.227648500003852,4.227648500003852,4.21767899999395,3.925922000024002,3.925922000024002,3.925922000024002,,,,,,,,,,,,,,,,,,,,284399,001,2025-03-20_15h50.51.077,Estimulo_ICE,2024.2.4,59.98436808732614,2025-03-20 15h50.56.580611 -0300,
Estimulo_6,7,7,0,1.8,-1.8,1.8,-1.8,2.2,-2.2,-2.2,2.2,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,4.227648500003852,,,,4.218659600010142,4.227648500003852,4.227648500003852,4.227648500003852,4.517639699974097,4.518318800022826,4.527523899974767,4.527523899974767,4.527523899974767,4.827553600014653,4.827553600014653,4.827553600014653,4.818041499995161,4.527523899974767,4.527523899974767,4.527523899974767,,,,,,,,,,,,,,,,,,,,284399,001,2025-03-20_15h50.51.077,Estimulo_ICE,2024.2.4,59.98436808732614,2025-03-20 15h50.56.580611 -0300,
Estimulo_6,8,8,0,1.9,-1.9,1.9,-1.9,2.2,-2.2,-2.2,2.2,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,4.827553600014653,,,,4.819019099988509,4.827553600014653,4.827553600014653,4.827553600014653,5.114446700026747,5.11488740000641,5.126579099975061,5.126579099975061,5.126579099975061,5.4258965000044554,5.4258965000044554,5.4258965000044554,5.412455999990925,5.126579099975061,5.126579099975061,5.126579099975061,,,,,,,,,,,,,,,,,,,,284399,001,2025-03-20_15h50.51.077,Estimulo_ICE,2024.2.4,59.98436808732614,2025-03-20 15h50.56.580611 -0300,
Estimulo_6,9,9,0,2,-2,2,-2,2.2,-2.2,-2.2,2.2,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,5.4258965000044554,,,,5.412889999977779,5.4258965000044554,5.4258965000044554,5.4258965000044554,5.716972999973223,5.717600899981335,5.727308499976061,5.727308499976061,5.727308499976061,6.027289399993606,6.027289399993606,6.027289399993606,6.0173866000259295,5.727308499976061,5.727308499976061,5.727308499976061,,,,,,,,,,,,,,,,,,,,284399,001,2025-03-20_15h50.51.077,Estimulo_ICE,2024.2.4,59.98436808732614,2025-03-20 15h50.56.580611 -0300,
Estimulo_6,10,10,0,2.1,-2.1,2.1,-2.1,2.2,-2.2,-2.2,2.2,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,6.027289399993606,,,,6.018295900023077,6.027289399993606,6.027289399993606,6.027289399993606,6.31707390001975,6.31770700000925,6.327264100022148,6.327264100022148,6.327264100022148,6.627230299985968,6.627230299985968,6.627230299985968,6.616927099996246,6.327264100022148,6.327264100022148,6.327264100022148,,,,,,,,,,,,,,,,,,,,284399,001,2025-03-20_15h50.51.077,Estimulo_ICE,2024.2.4,59.98436808732614,2025-03-20 15h50.56.580611 -0300,
Estimulo_6,11,11,0,2.2,-2.2,2.2,-2.2,2.2,-2.2,-2.2,2.2,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,6.627230299985968,,,,6.61784770002123,6.627230299985968,6.627230299985968,6.627230299985968,6.913525799987838,6.91391120001208,6.92633659997955,6.92633659997955,6.92633659997955,7.22585839999374,7.22585839999374,7.22585839999374,7.211869699996896,6.92633659997955,6.92633659997955,6.92633659997955,,,,,,,,,,,,,,,,,,,,284399,001,2025-03-20_15h50.51.077,Estimulo_ICE,2024.2.4,59.98436808732614,2025-03-20 15h50.56.580611 -0300,
Estimulo_6,12,12,0,2.3,-2.3,2.3,-2.3,2.2,-2.2,-2.2,2.2,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,7.22585839999374,,,,7.212236999999732,7.22585839999374,7.22585839999374,7.22585839999374,7.511693099979311,7.511946899991017,7.525566899974365,7.525566899974365,7.525566899974365,7.826840599998832,7.826840599998832,7.826840599998832,7.815208400017582,7.525566899974365,7.525566899974365,7.525566899974365,,,,,,,,,,,,,,,,,,,,284399,001,2025-03-20_15h50.51.077,Estimulo_ICE,2024.2.4,59.98436808732614,2025-03-20 15h50.56.580611 -0300,
Estimulo_6,13,13,0,2.4,-2.4,2.4,-2.4,2.2,-2.2,-2.2,2.2,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,7.826840599998832,,,,7.815931799996179,7.826840599998832,7.826840599998832,7.826840599998832,8.11529220000375,8.115806900023017,8.126876400026958,8.126876400026958,8.126876400026958,8.425683800014667,8.425683800014667,8.425683800014667,8.411978100019041,8.126876400026958,8.126876400026958,8.126876400026958,,,,,,,,,,,,,,,,,,,,284399,001,2025-03-20_15h50.51.077,Estimulo_ICE,2024.2.4,59.98436808732614,2025-03-20 15h50.56.580611 -0300,
Estimulo_6,14,14,0,2.5,-2.5,2.5,-2.5,2.2,-2.2,-2.2,2.2,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,8.425683800014667,,,,8.412369499972556,8.425683800014667,8.425683800014667,8.425683800014667,8.711994200013578,8.712258199986536,8.72597799997311,8.72597799997311,8.72597799997311,9.02742960001342,9.02742960001342,9.02742960001342,9.017224300012458,8.72597799997311,8.72597799997311,8.72597799997311,,,,,,,,,,,,,,,,,,,,284399,001,2025-03-20_15h50.51.077,Estimulo_ICE,2024.2.4,59.98436808732614,2025-03-20 15h50.56.580611 -0300,
Estimulo_6,15,15,0,2.6,-2.6,2.6,-2.6,2.2,-2.2,-2.2,2.2,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,9.02742960001342,,,,9.018132700002752,9.02742960001342,9.02742960001342,9.02742960001342,9.316892199974973,9.317523000005167,9.327358799986541,9.327358799986541,9.327358799986541,,,,9.611813700001221,9.327358799986541,9.327358799986541,9.327358799986541,,,,,,,,,,,,,,,,,,,,284399,001,2025-03-20_15h50.51.077,Estimulo_ICE,2024.2.4,59.98436808732614,2025-03-20 15h50.56.580611 -0300,
Estimulo_6,16,16,0,2.7,-2.7,2.7,-2.7,2.2,-2.2,-2.2,2.2,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,9.62586349999765,,,,9.612185999983922,9.62586349999765,9.62586349999765,9.62586349999765,9.911814899998717,9.91206780000357,9.925757199991494,9.925757199991494,9.925757199991494,10.22587259998545,10.22587259998545,10.22587259998545,10.21178279997548,9.925757199991494,9.925757199991494,9.925757199991494,,,,,,,,,,,,,,,,,,,,284399,001,2025-03-20_15h50.51.077,Estimulo_ICE,2024.2.4,59.98436808732614,2025-03-20 15h50.56.580611 -0300,
Estimulo_6,17,17,0,2.8,-2.8,2.8,-2.8,2.2,-2.2,-2.2,2.2,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,10.22587259998545,,,,10.212149799976032,10.22587259998545,10.22587259998545,10.22587259998545,10.511692599975504,10.511946799990255,10.525835799984634,10.525835799984634,10.525835799984634,10.825899299990851,10.825899299990851,10.825899299990851,10.811885499977507,10.525835799984634,10.525835799984634,10.525835799984634,,,,,,,,,,,,,,,,,,,,284399,001,2025-03-20_15h50.51.077,Estimulo_ICE,2024.2.4,59.98436808732614,2025-03-20 15h50.56.580611 -0300,
Estimulo_6,18,18,0,2.9,-2.9,2.9,-2.9,2.2,-2.2,-2.2,2.2,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,10.825899299990851,,,,10.812253899988718,10.825899299990851,10.825899299990851,10.825899299990851,11.111886299971957,11.112140299985185,11.125697500014212,11.125697500014212,11.125697500014212,11.427451999974437,11.427451999974437,11.427451999974437,11.412113200000022,11.125697500014212,11.125697500014212,11.125697500014212,,,,,,,,,,,,,,,,,,,,284399,001,2025-03-20_15h50.51.077,Estimulo_ICE,2024.2.4,59.98436808732614,2025-03-20 15h50.56.580611 -0300,
Estimulo_6,19,19,0,3,-3,3,-3,2.2,-2.2,-2.2,2.2,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,11.427451999974437,,,,11.412469299975783,11.427451999974437,11.427451999974437,11.427451999974437,11.711805599974468,11.712059899989981,11.725831700023264,11.725831700023264,11.725831700023264,12.02585849998286,12.02585849998286,12.02585849998286,12.011769199976698,,,,,,,,,,,,,,,,,,,,,,,284399,001,2025-03-20_15h50.51.077,Estimulo_ICE,2024.2.4,59.98436808732614,2025-03-20 15h50.56.580611 -0300,
Estimulo_6,20,20,0,3.1,-3.1,3.1,-3.1,2.2,-2.2,-2.2,2.2,0,0,0,5,,,,,,,,,,,,,,,,,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,12.02585849998286,,,,12.012134700024035,12.02585849998286,12.02585849998286,12.02585849998286,12.315448399982415,12.315943800029345,12.326840599998832,12.326840599998832,12.326840599998832,12.62682499998482,12.62682499998482,12.62682499998482,12.61542530002771,12.326840599998832,12.326840599998832,12.326840599998832,,,,,,,,,,,,,,,,,,,,284399,001,2025-03-20_15h50.51.077,Estimulo_ICE,2024.2.4,59.98436808732614,2025-03-20 15h50.56.580611 -0300,
