LoopName,thisN,thisTrialN,thisRepN,px1,px2,px3,px4,py1,py2,py3,py4,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,loop_1.thisRepN,loop_1.thisTrialN,loop_1.thisN,loop_1.thisIndex,loop_2.thisRepN,loop_2.thisTrialN,loop_2.thisN,loop_2.thisIndex,loop_3.thisRepN,loop_3.thisTrialN,loop_3.thisN,loop_3.thisIndex,loop_4.thisRepN,loop_4.thisTrialN,loop_4.thisN,loop_4.thisIndex,loop_5.thisRepN,loop_5.thisTrialN,loop_5.thisN,loop_5.thisIndex,thisRow.t,notes,codigo.started,codigo.stopped,trial.started,image.started,image_2.started,polygon.started,trial.stopped,trial_2.started,image_3.started,image_4.started,polygon_2.started,trial_2.stopped,trial_3.started,image_5.started,image_6.started,polygon_3.started,trial_3.stopped,trial_4.started,image_7.started,image_8.started,polygon_4.started,image_7.stopped,image_8.stopped,polygon_4.stopped,trial_4.stopped,image_5.stopped,image_6.stopped,polygon_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Estimulo_1,0,0,0,4.4,-4.4,4.4,-4.4,2.2,-2.2,-2.2,2.2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,0.04200250000030792,,0.01762959999996383,0.017977299999984098,0.02884760000051756,0.04200250000030792,0.04200250000030792,0.04200250000030792,0.3271451000000525,0.32736540000041714,0.3414818999999625,0.3414818999999625,0.3414818999999625,0.6270414999999048,,,,,,,,,,,,,,,,,328506,001,2025-03-17_15h20.39.086,Estimulo_ICE,2024.2.4,59.921071963797104,2025-03-17 15h20.45.644518 -0300,
Estimulo_1,1,1,0,4.3,-4.3,4.3,-4.3,2.2,-2.2,-2.2,2.2,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,0.6416367000001628,,,,0.6273846000003687,0.6416367000001628,0.6416367000001628,0.6416367000001628,0.9269289000003482,0.927164100000482,0.9412059000005684,0.9412059000005684,0.9412059000005684,1.2269371000002138,,,,,,,,,,,,,,,,,328506,001,2025-03-17_15h20.39.086,Estimulo_ICE,2024.2.4,59.921071963797104,2025-03-17 15h20.45.644518 -0300,
Estimulo_1,2,2,0,4.2,-4.2,4.2,-4.2,2.2,-2.2,-2.2,2.2,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,1.2415656000002855,,,,1.2272835000003397,1.2415656000002855,1.2415656000002855,1.2415656000002855,1.5269107000003714,1.5271499000000404,1.5415910000001531,1.5415910000001531,1.5415910000001531,1.8271246000003885,,,,,,,,,,,,,,,,,328506,001,2025-03-17_15h20.39.086,Estimulo_ICE,2024.2.4,59.921071963797104,2025-03-17 15h20.45.644518 -0300,
Estimulo_1,3,3,0,4.1,-4.1,4.1,-4.1,2.2,-2.2,-2.2,2.2,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,1.8413492999998198,,,,1.827473800000007,1.8413492999998198,1.8413492999998198,1.8413492999998198,2.127184599999964,2.1274207000005845,2.1414770999999746,2.1414770999999746,2.1414770999999746,2.4270543000002363,,,,,,,,,,,,,,,,,328506,001,2025-03-17_15h20.39.086,Estimulo_ICE,2024.2.4,59.921071963797104,2025-03-17 15h20.45.644518 -0300,
Estimulo_1,4,4,0,4,-4,4,-4,2.2,-2.2,-2.2,2.2,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,2.4413924999998926,,,,2.4273996000001716,2.4413924999998926,2.4413924999998926,2.4413924999998926,2.7269772999998168,2.7272123000002466,2.741481800000656,2.741481800000656,2.741481800000656,3.027110800000628,,,,,,,,,,,,,,,,,328506,001,2025-03-17_15h20.39.086,Estimulo_ICE,2024.2.4,59.921071963797104,2025-03-17 15h20.45.644518 -0300,
Estimulo_1,5,5,0,3.9,-3.9,3.9,-3.9,2.2,-2.2,-2.2,2.2,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,3.0416144999999233,,,,3.0274546999999075,3.0416144999999233,3.0416144999999233,3.0416144999999233,3.3270283000001655,3.327260400000341,3.3415420999999697,3.3415420999999697,3.3415420999999697,3.6270212999997966,,,,,,,,,,,,,,,,,328506,001,2025-03-17_15h20.39.086,Estimulo_ICE,2024.2.4,59.921071963797104,2025-03-17 15h20.45.644518 -0300,
Estimulo_1,6,6,0,3.8,-3.8,3.8,-3.8,2.2,-2.2,-2.2,2.2,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,3.6418542000001253,,,,3.6273627999999007,3.6418542000001253,3.6418542000001253,3.6418542000001253,3.927044200000637,3.9272795000006226,3.941554800000631,3.941554800000631,3.941554800000631,4.22700739999982,,,,,,,,,,,,,,,,,328506,001,2025-03-17_15h20.39.086,Estimulo_ICE,2024.2.4,59.921071963797104,2025-03-17 15h20.45.644518 -0300,
Estimulo_1,7,7,0,3.7,-3.7,3.7,-3.7,2.2,-2.2,-2.2,2.2,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,4.2415915000001405,,,,4.2273488999999245,4.2415915000001405,4.2415915000001405,4.2415915000001405,4.52704040000026,4.527274400000351,4.541481500000373,4.541481500000373,4.541481500000373,4.827044399999977,,,,,,,,,,,,,,,,,328506,001,2025-03-17_15h20.39.086,Estimulo_ICE,2024.2.4,59.921071963797104,2025-03-17 15h20.45.644518 -0300,
Estimulo_1,8,8,0,3.6,-3.6,3.6,-3.6,2.2,-2.2,-2.2,2.2,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,4.841443400000571,,,,4.82738370000061,4.841443400000571,4.841443400000571,4.841443400000571,5.12703590000001,5.127273400000377,5.141417499999989,5.141417499999989,5.141417499999989,5.42703100000017,,,,,,,,,,,,,,,,,328506,001,2025-03-17_15h20.39.086,Estimulo_ICE,2024.2.4,59.921071963797104,2025-03-17 15h20.45.644518 -0300,
Estimulo_1,9,9,0,3.5,-3.5,3.5,-3.5,2.2,-2.2,-2.2,2.2,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,5.44136620000063,,,,5.427373000000443,5.44136620000063,5.44136620000063,5.44136620000063,5.727022600000055,5.727254999999786,5.7415406999998595,5.7415406999998595,5.7415406999998595,6.026945700000397,,,,,,,,,,,,,,,,,328506,001,2025-03-17_15h20.39.086,Estimulo_ICE,2024.2.4,59.921071963797104,2025-03-17 15h20.45.644518 -0300,
