LoopName,thisN,thisTrialN,thisRepN,px1,px2,px3,px4,py1,py2,py3,py4,key_resp_6.keys,key_resp_7.keys,key_resp_6.rt,key_resp_6.duration,key_resp_7.rt,key_resp_7.duration,key_resp_4.keys,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,key_resp_4.rt,key_resp_4.duration,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,loop_1.thisRepN,loop_1.thisTrialN,loop_1.thisN,loop_1.thisIndex,loop_2.thisRepN,loop_2.thisTrialN,loop_2.thisN,loop_2.thisIndex,loop_3.thisRepN,loop_3.thisTrialN,loop_3.thisN,loop_3.thisIndex,loop_4.thisRepN,loop_4.thisTrialN,loop_4.thisN,loop_4.thisIndex,loop_5.thisRepN,loop_5.thisTrialN,loop_5.thisN,loop_5.thisIndex,loop_6.thisRepN,loop_6.thisTrialN,loop_6.thisN,loop_6.thisIndex,loop_7.thisRepN,loop_7.thisTrialN,loop_7.thisN,loop_7.thisIndex,loop_8.thisRepN,loop_8.thisTrialN,loop_8.thisN,loop_8.thisIndex,loop_9.thisRepN,loop_9.thisTrialN,loop_9.thisN,loop_9.thisIndex,loop_10.thisRepN,loop_10.thisTrialN,loop_10.thisN,loop_10.thisIndex,loop_11.thisRepN,loop_11.thisTrialN,loop_11.thisN,loop_11.thisIndex,loop_12.thisRepN,loop_12.thisTrialN,loop_12.thisN,loop_12.thisIndex,thisRow.t,notes,codigo.started,codigo.stopped,trial_5.started,image_9.started,polygon_6.started,image_10.started,key_resp_6.started,trial_5.stopped,loop_12.key_resp_6.keys,trial_6.started,image_11.started,image_12.started,polygon_7.started,key_resp_7.started,trial_6.stopped,loop_12.key_resp_7.keys,loop_12.key_resp_6.rt,loop_12.key_resp_6.duration,loop_12.key_resp_7.rt,loop_12.key_resp_7.duration,_intertrial_interval_.started,polygon_5.started,_intertrial_interval_.stopped,trial_3.started,image_5.started,image_6.started,polygon_3.started,key_resp_4.started,trial_3.stopped,loop_7.key_resp_4.keys,trial_4.started,image_7.started,image_8.started,polygon_4.started,key_resp_5.started,image_7.stopped,image_8.stopped,polygon_4.stopped,key_resp_5.stopped,trial_4.stopped,loop_7.key_resp_5.keys,loop_7.key_resp_5.rt,loop_7.key_resp_5.duration,image_5.stopped,image_6.stopped,polygon_3.stopped,key_resp_4.stopped,loop_7.key_resp_4.rt,loop_7.key_resp_4.duration,loop_9.key_resp_6.keys,loop_9.key_resp_6.rt,loop_9.key_resp_6.duration,loop_9.key_resp_7.keys,loop_9.key_resp_7.rt,loop_9.key_resp_7.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Estimulo_12,0,0,0,2.2,-2.2,-2.2,2.2,1.09999999999998,-1.09999999999998,1.09999999999998,-1.09999999999998,None,None,,,,,,,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.21789050000006682,,0.025231400000166104,0.025629700000081357,0.20942460000014762,0.21789050000006682,0.21789050000006682,0.21789050000006682,0.21789050000006682,0.33638730000006944,None,0.3366147000001547,0.3508763000002091,0.3508763000002091,0.3508763000002091,0.3508763000002091,0.6400864000002002,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332057,001,2025-03-24_15h55.42.515,Estimulo_ICE,2024.2.4,60.393366151068804,2025-03-24 15h55.46.858966 -0300,
Estimulo_12,1,1,0,2.2,-2.2,-2.2,2.2,1.19999999999998,-1.19999999999998,1.19999999999998,-1.19999999999998,None,None,,,,,,,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,0.6520920000000388,,,,0.6409067000001869,0.6520920000000388,0.6520920000000388,0.6520920000000388,0.6520920000000388,0.9362226000000646,None,0.9364690000002156,0.9507677000001422,0.9507677000001422,0.9507677000001422,0.9507677000001422,1.2364070000000993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332057,001,2025-03-24_15h55.42.515,Estimulo_ICE,2024.2.4,60.393366151068804,2025-03-24 15h55.46.858966 -0300,
Estimulo_12,2,2,0,2.2,-2.2,-2.2,2.2,1.29999999999998,-1.29999999999998,1.29999999999998,-1.29999999999998,None,None,,,,,,,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,1.2507221000000754,,,,1.236765000000105,1.2507221000000754,1.2507221000000754,1.2507221000000754,1.2507221000000754,1.5363340000001244,None,1.5365787000000637,1.5507699000002049,1.5507699000002049,1.5507699000002049,1.5507699000002049,1.8362990000000536,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332057,001,2025-03-24_15h55.42.515,Estimulo_ICE,2024.2.4,60.393366151068804,2025-03-24 15h55.46.858966 -0300,
Estimulo_12,3,3,0,2.2,-2.2,-2.2,2.2,1.39999999999998,-1.39999999999998,1.39999999999998,-1.39999999999998,None,None,,,,,,,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,1.850960299999997,,,,1.8366539000001012,1.850960299999997,1.850960299999997,1.850960299999997,1.850960299999997,2.1362314000000424,None,2.136478600000146,2.150773500000014,2.150773500000014,2.150773500000014,2.150773500000014,2.435997400000133,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332057,001,2025-03-24_15h55.42.515,Estimulo_ICE,2024.2.4,60.393366151068804,2025-03-24 15h55.46.858966 -0300,
Estimulo_12,4,4,0,2.2,-2.2,-2.2,2.2,1.49999999999998,-1.49999999999998,1.49999999999998,-1.49999999999998,None,None,,,,,,,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,2.4509629000001496,,,,2.4363285000001724,2.4509629000001496,2.4509629000001496,2.4509629000001496,2.4509629000001496,2.736304300000029,None,2.736551300000201,2.75087590000021,2.75087590000021,2.75087590000021,2.75087590000021,3.0363296000000446,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332057,001,2025-03-24_15h55.42.515,Estimulo_ICE,2024.2.4,60.393366151068804,2025-03-24 15h55.46.858966 -0300,
Estimulo_12,5,5,0,2.2,-2.2,-2.2,2.2,1.59999999999998,-1.59999999999998,1.59999999999998,-1.59999999999998,['up'],None,[0.042349399999920934],[0.1130150000001322],,,,,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,3.050672100000156,,,,3.0366877000001296,3.050672100000156,3.050672100000156,3.050672100000156,3.050672100000156,3.3364402000001974,['up'],3.3367152000000715,3.350772800000186,3.350772800000186,3.350772800000186,3.350772800000186,3.636950100000149,None,[0.042349399999920934],[0.1130150000001322],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332057,001,2025-03-24_15h55.42.515,Estimulo_ICE,2024.2.4,60.393366151068804,2025-03-24 15h55.46.858966 -0300,
Estimulo_12,6,6,0,2.2,-2.2,-2.2,2.2,1.69999999999998,-1.69999999999998,1.69999999999998,-1.69999999999998,['up'],"['up', 'up']",[0.06588099999999031],[0.11998480000011114],"[0.0461612999999943, 0.24682239999992817]","[0.07999999999992724, None]",,,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,3.650884600000154,,,,3.637300100000175,3.650884600000154,3.650884600000154,3.650884600000154,3.650884600000154,3.93631060000007,['up'],3.9365812000000915,3.950776100000212,3.950776100000212,3.950776100000212,3.950776100000212,4.236306700000114,"['up', 'up']",[0.06588099999999031],[0.11998480000011114],"[0.0461612999999943, 0.24682239999992817]","[0.07999999999992724, None]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332057,001,2025-03-24_15h55.42.515,Estimulo_ICE,2024.2.4,60.393366151068804,2025-03-24 15h55.46.858966 -0300,
Estimulo_12,7,7,0,2.2,-2.2,-2.2,2.2,1.79999999999998,-1.79999999999998,1.79999999999998,-1.79999999999998,['up'],['up'],[0.1709508999999798],[0.09511990000009973],[0.10227420000001075],[0.08855719999996836],,,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,4.250702799999999,,,,4.236688000000186,4.250702799999999,4.250702799999999,4.250702799999999,4.250702799999999,4.536282200000187,['up'],4.5365502000001925,4.550863400000026,4.550863400000026,4.550863400000026,4.550863400000026,4.83632230000012,['up'],[0.1709508999999798],[0.09511990000009973],[0.10227420000001075],[0.08855719999996836],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332057,001,2025-03-24_15h55.42.515,Estimulo_ICE,2024.2.4,60.393366151068804,2025-03-24 15h55.46.858966 -0300,
Estimulo_12,8,8,0,2.2,-2.2,-2.2,2.2,1.89999999999998,-1.89999999999998,1.89999999999998,-1.89999999999998,"['up', 'up']",None,"[-0.00459299999988616, 0.13824780000004466]","[0.04758589999983087, 0.06386799999995674]",,,,,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,8,4.850652000000082,,,,4.83670230000007,4.850652000000082,4.850652000000082,4.850652000000082,4.850652000000082,5.138905600000044,"['up', 'up']",5.139396500000203,5.1515104000000065,5.1515104000000065,5.1515104000000065,5.1515104000000065,5.436831100000063,None,"[-0.00459299999988616, 0.13824780000004466]","[0.04758589999983087, 0.06386799999995674]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332057,001,2025-03-24_15h55.42.515,Estimulo_ICE,2024.2.4,60.393366151068804,2025-03-24 15h55.46.858966 -0300,
Estimulo_12,9,9,0,2.2,-2.2,-2.2,2.2,1.99999999999998,-1.99999999999998,1.99999999999998,-1.99999999999998,['right'],['right'],[0.15446419999989303],[None],[0.13383879999992132],[0.12928889999989224],,,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,9,5.450968400000193,,,,5.437249199999997,5.450968400000193,5.450968400000193,5.450968400000193,5.450968400000193,5.73667660000001,['right'],5.7369961000001695,5.750934000000143,5.750934000000143,5.750934000000143,5.750934000000143,6.036302599999999,['right'],[0.15446419999989303],[None],[0.13383879999992132],[0.12928889999989224],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,332057,001,2025-03-24_15h55.42.515,Estimulo_ICE,2024.2.4,60.393366151068804,2025-03-24 15h55.46.858966 -0300,
