LoopName,thisN,thisTrialN,thisRepN,px1,px2,px3,px4,py1,py2,py3,py4,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,loop_1.thisRepN,loop_1.thisTrialN,loop_1.thisN,loop_1.thisIndex,loop_2.thisRepN,loop_2.thisTrialN,loop_2.thisN,loop_2.thisIndex,loop_3.thisRepN,loop_3.thisTrialN,loop_3.thisN,loop_3.thisIndex,loop_4.thisRepN,loop_4.thisTrialN,loop_4.thisN,loop_4.thisIndex,loop_5.thisRepN,loop_5.thisTrialN,loop_5.thisN,loop_5.thisIndex,loop_6.thisRepN,loop_6.thisTrialN,loop_6.thisN,loop_6.thisIndex,loop_7.thisRepN,loop_7.thisTrialN,loop_7.thisN,loop_7.thisIndex,loop_8.thisRepN,loop_8.thisTrialN,loop_8.thisN,loop_8.thisIndex,loop_9.thisRepN,loop_9.thisTrialN,loop_9.thisN,loop_9.thisIndex,loop_10.thisRepN,loop_10.thisTrialN,loop_10.thisN,loop_10.thisIndex,loop_11.thisRepN,loop_11.thisTrialN,loop_11.thisN,loop_11.thisIndex,loop_12.thisRepN,loop_12.thisTrialN,loop_12.thisN,loop_12.thisIndex,thisRow.t,notes,codigo.started,codigo.stopped,trial.started,image.started,image_2.started,polygon.started,trial.stopped,trial_2.started,image_3.started,image_4.started,polygon_2.started,trial_2.stopped,trial_3.started,image_5.started,image_6.started,polygon_3.started,trial_3.stopped,trial_4.started,image_7.started,image_8.started,polygon_4.started,image_7.stopped,image_8.stopped,polygon_4.stopped,trial_4.stopped,image_5.stopped,image_6.stopped,polygon_3.stopped,_intertrial_interval_.started,polygon_5.started,_intertrial_interval_.stopped,trial_5.started,image_9.started,polygon_6.started,image_10.started,trial_5.stopped,trial_6.started,image_11.started,image_12.started,polygon_7.started,trial_6.stopped,image_9.stopped,polygon_6.stopped,image_10.stopped,image_11.stopped,image_12.stopped,polygon_7.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Estimulo_1,0,0,0,4.4,-4.4,4.4,-4.4,2.2,-2.2,-2.2,2.2,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049207099999875936,,0.023142600000028324,0.023445999999239575,0.03464159999930416,0.049207099999875936,0.049207099999875936,0.049207099999875936,0.3345282000000225,0.3347470999997313,0.34908029999951395,0.34908029999951395,0.34908029999951395,0.634383099999468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414239,001,2025-03-17_15h21.46.858,Estimulo_ICE,2024.2.4,60.04116422219055,2025-03-17 15h21.52.993145 -0300,
Estimulo_1,1,1,0,4.3,-4.3,4.3,-4.3,2.2,-2.2,-2.2,2.2,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6489627000000837,,,,0.6347360999998273,0.6489627000000837,0.6489627000000837,0.6489627000000837,0.9345436999992671,0.9347780999996758,0.9488244999993185,0.9488244999993185,0.9488244999993185,1.2345140999996147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414239,001,2025-03-17_15h21.46.858,Estimulo_ICE,2024.2.4,60.04116422219055,2025-03-17 15h21.52.993145 -0300,
Estimulo_1,2,2,0,4.2,-4.2,4.2,-4.2,2.2,-2.2,-2.2,2.2,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.249027599999863,,,,1.2348558999992747,1.249027599999863,1.249027599999863,1.249027599999863,1.5343471999995018,1.5345893999992768,1.5490584999997736,1.5490584999997736,1.5490584999997736,1.8346462999998039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414239,001,2025-03-17_15h21.46.858,Estimulo_ICE,2024.2.4,60.04116422219055,2025-03-17 15h21.52.993145 -0300,
Estimulo_1,3,3,0,4.1,-4.1,4.1,-4.1,2.2,-2.2,-2.2,2.2,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.848781499999859,,,,1.8349916999995912,1.848781499999859,1.848781499999859,1.848781499999859,2.134328799999821,2.134567699999934,2.1489627000000837,2.1489627000000837,2.1489627000000837,2.4344752999995762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414239,001,2025-03-17_15h21.46.858,Estimulo_ICE,2024.2.4,60.04116422219055,2025-03-17 15h21.52.993145 -0300,
Estimulo_1,4,4,0,4,-4,4,-4,2.2,-2.2,-2.2,2.2,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4490061999995305,,,,2.4348151999993206,2.4490061999995305,2.4490061999995305,2.4490061999995305,2.7344898999999714,2.7347273999994286,2.7489871999996467,2.7489871999996467,2.7489871999996467,3.0343598999997994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414239,001,2025-03-17_15h21.46.858,Estimulo_ICE,2024.2.4,60.04116422219055,2025-03-17 15h21.52.993145 -0300,
Estimulo_1,5,5,0,3.9,-3.9,3.9,-3.9,2.2,-2.2,-2.2,2.2,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.048919599999863,,,,3.0347054999992906,3.048919599999863,3.048919599999863,3.048919599999863,3.3343135999994047,3.3345484000001306,3.348943699999836,3.348943699999836,3.348943699999836,3.6275777000000744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414239,001,2025-03-17_15h21.46.858,Estimulo_ICE,2024.2.4,60.04116422219055,2025-03-17 15h21.52.993145 -0300,
Estimulo_1,6,6,0,3.8,-3.8,3.8,-3.8,2.2,-2.2,-2.2,2.2,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.650229099999706,,,,3.6289469999992434,3.650229099999706,3.650229099999706,3.650229099999706,3.9398858999993536,3.940585100000135,3.950571499999569,3.950571499999569,3.950571499999569,4.240134799999396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414239,001,2025-03-17_15h21.46.858,Estimulo_ICE,2024.2.4,60.04116422219055,2025-03-17 15h21.52.993145 -0300,
Estimulo_1,7,7,0,3.7,-3.7,3.7,-3.7,2.2,-2.2,-2.2,2.2,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2506424999992305,,,,4.241055499999675,4.2506424999992305,4.2506424999992305,4.2506424999992305,4.539775100000043,4.540404800000033,4.550635399999919,4.550635399999919,4.550635399999919,4.836747299999843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414239,001,2025-03-17_15h21.46.858,Estimulo_ICE,2024.2.4,60.04116422219055,2025-03-17 15h21.52.993145 -0300,
Estimulo_1,8,8,0,3.6,-3.6,3.6,-3.6,2.2,-2.2,-2.2,2.2,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.849633099999664,,,,4.83733519999987,4.849633099999664,4.849633099999664,4.849633099999664,5.136721799999577,5.137130099999922,5.149523199999749,5.149523199999749,5.149523199999749,5.4347601999998005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414239,001,2025-03-17_15h21.46.858,Estimulo_ICE,2024.2.4,60.04116422219055,2025-03-17 15h21.52.993145 -0300,
Estimulo_1,9,9,0,3.5,-3.5,3.5,-3.5,2.2,-2.2,-2.2,2.2,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.448998199999551,,,,5.435151399999995,5.448998199999551,5.448998199999551,5.448998199999551,5.734511399999974,5.734748399999262,5.748931799999809,5.748931799999809,5.748931799999809,6.034446899999239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414239,001,2025-03-17_15h21.46.858,Estimulo_ICE,2024.2.4,60.04116422219055,2025-03-17 15h21.52.993145 -0300,
