LoopName,thisN,thisTrialN,thisRepN,px1,px2,px3,px4,py1,py2,py3,py4,key_resp_6.keys,key_resp_7.keys,key_resp_4.keys,key_resp_5.keys,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,loop_1.thisRepN,loop_1.thisTrialN,loop_1.thisN,loop_1.thisIndex,loop_2.thisRepN,loop_2.thisTrialN,loop_2.thisN,loop_2.thisIndex,loop_3.thisRepN,loop_3.thisTrialN,loop_3.thisN,loop_3.thisIndex,loop_4.thisRepN,loop_4.thisTrialN,loop_4.thisN,loop_4.thisIndex,loop_5.thisRepN,loop_5.thisTrialN,loop_5.thisN,loop_5.thisIndex,loop_6.thisRepN,loop_6.thisTrialN,loop_6.thisN,loop_6.thisIndex,loop_7.thisRepN,loop_7.thisTrialN,loop_7.thisN,loop_7.thisIndex,loop_8.thisRepN,loop_8.thisTrialN,loop_8.thisN,loop_8.thisIndex,loop_9.thisRepN,loop_9.thisTrialN,loop_9.thisN,loop_9.thisIndex,loop_10.thisRepN,loop_10.thisTrialN,loop_10.thisN,loop_10.thisIndex,loop_11.thisRepN,loop_11.thisTrialN,loop_11.thisN,loop_11.thisIndex,loop_12.thisRepN,loop_12.thisTrialN,loop_12.thisN,loop_12.thisIndex,thisRow.t,notes,codigo.started,codigo.stopped,trial_5.started,image_9.started,polygon_6.started,image_10.started,key_resp_6.started,trial_5.stopped,loop_9.key_resp_6.keys,trial_6.started,image_11.started,image_12.started,polygon_7.started,key_resp_7.started,trial_6.stopped,loop_9.key_resp_7.keys,_intertrial_interval_.started,polygon_5.started,_intertrial_interval_.stopped,trial_3.started,image_5.started,image_6.started,polygon_3.started,key_resp_4.started,trial_3.stopped,loop_6.key_resp_4.keys,trial_4.started,image_7.started,image_8.started,polygon_4.started,key_resp_5.started,image_7.stopped,image_8.stopped,polygon_4.stopped,key_resp_5.stopped,trial_4.stopped,loop_6.key_resp_5.keys,image_5.stopped,image_6.stopped,polygon_3.stopped,key_resp_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Estimulo_9,0,0,0,4.4,-4.4,4.4,-4.4,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,0.2005802999997286,,0.024265699999887147,0.02463339999985692,0.18072049999955198,0.2005802999997286,0.2005802999997286,0.2005802999997286,0.2005802999997286,0.3350949999999102,None,0.33531889999994746,0.3495887999997649,0.3495887999997649,0.3495887999997649,0.3495887999997649,0.6349284999996598,None,,,,,,,,,,,,,,,,,,,,,,,,,,434710,001,2025-03-24_15h06.27.221,Estimulo_ICE,2024.2.4,60.08640424926991,2025-03-24 15h06.32.734484 -0300,
Estimulo_9,1,1,0,4.3,-4.3,4.3,-4.3,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,0.6492728999996871,,,,0.6352641999997104,0.6492728999996871,0.6492728999996871,0.6492728999996871,0.6492728999996871,0.9353991999996651,None,0.9356700999996974,0.9495070999996642,0.9495070999996642,0.9495070999996642,0.9495070999996642,1.2349379999996017,None,,,,,,,,,,,,,,,,,,,,,,,,,,434710,001,2025-03-24_15h06.27.221,Estimulo_ICE,2024.2.4,60.08640424926991,2025-03-24 15h06.32.734484 -0300,
Estimulo_9,2,2,0,4.2,-4.2,4.2,-4.2,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,1.2497794999999314,,,,1.2352810999996109,1.2497794999999314,1.2497794999999314,1.2497794999999314,1.2497794999999314,1.5351759999998649,None,1.535461199999645,1.5499959999997373,1.5499959999997373,1.5499959999997373,1.5499959999997373,1.8379195999996227,None,,,,,,,,,,,,,,,,,,,,,,,,,,434710,001,2025-03-24_15h06.27.221,Estimulo_ICE,2024.2.4,60.08640424926991,2025-03-24 15h06.32.734484 -0300,
Estimulo_9,3,3,0,4.1,-4.1,4.1,-4.1,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,1.850708399999803,,,,1.8382512999996834,1.850708399999803,1.850708399999803,1.850708399999803,1.850708399999803,2.1356856999996126,None,2.135924199999863,2.1499677999995583,2.1499677999995583,2.1499677999995583,2.1499677999995583,2.435498099999677,None,,,,,,,,,,,,,,,,,,,,,,,,,,434710,001,2025-03-24_15h06.27.221,Estimulo_ICE,2024.2.4,60.08640424926991,2025-03-24 15h06.32.734484 -0300,
Estimulo_9,4,4,0,4,-4,4,-4,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,2.449762499999906,,,,2.435832599999685,2.449762499999906,2.449762499999906,2.449762499999906,2.449762499999906,2.735640799999601,None,2.7358738999996604,2.7498726999997416,2.7498726999997416,2.7498726999997416,2.7498726999997416,3.035735299999942,None,,,,,,,,,,,,,,,,,,,,,,,,,,434710,001,2025-03-24_15h06.27.221,Estimulo_ICE,2024.2.4,60.08640424926991,2025-03-24 15h06.32.734484 -0300,
Estimulo_9,5,5,0,3.9,-3.9,3.9,-3.9,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,3.050228899999638,,,,3.0361458999996103,3.050228899999638,3.050228899999638,3.050228899999638,3.050228899999638,3.335125699999935,None,3.335361599999942,3.349546499999633,3.349546499999633,3.349546499999633,3.349546499999633,3.6370474999998805,None,,,,,,,,,,,,,,,,,,,,,,,,,,434710,001,2025-03-24_15h06.27.221,Estimulo_ICE,2024.2.4,60.08640424926991,2025-03-24 15h06.32.734484 -0300,
Estimulo_9,6,6,0,3.8,-3.8,3.8,-3.8,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,3.652307599999858,,,,3.637478899999678,3.652307599999858,3.652307599999858,3.652307599999858,3.652307599999858,3.93487339999956,None,3.9351074999999582,3.9488624999999047,3.9488624999999047,3.9488624999999047,3.9488624999999047,4.234567199999674,None,,,,,,,,,,,,,,,,,,,,,,,,,,434710,001,2025-03-24_15h06.27.221,Estimulo_ICE,2024.2.4,60.08640424926991,2025-03-24 15h06.32.734484 -0300,
Estimulo_9,7,7,0,3.7,-3.7,3.7,-3.7,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,4.248976999999741,,,,4.2349270999998225,4.248976999999741,4.248976999999741,4.248976999999741,4.248976999999741,4.535521599999811,None,4.535823799999889,4.548986899999818,4.548986899999818,4.548986899999818,4.548986899999818,4.834862199999861,None,,,,,,,,,,,,,,,,,,,,,,,,,,434710,001,2025-03-24_15h06.27.221,Estimulo_ICE,2024.2.4,60.08640424926991,2025-03-24 15h06.32.734484 -0300,
Estimulo_9,8,8,0,3.6,-3.6,3.6,-3.6,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,4.849373899999591,,,,4.835191999999552,4.849373899999591,4.849373899999591,4.849373899999591,4.849373899999591,5.135084699999879,None,5.135366299999987,5.149202499999774,5.149202499999774,5.149202499999774,5.149202499999774,5.434529099999963,None,,,,,,,,,,,,,,,,,,,,,,,,,,434710,001,2025-03-24_15h06.27.221,Estimulo_ICE,2024.2.4,60.08640424926991,2025-03-24 15h06.32.734484 -0300,
Estimulo_9,9,9,0,3.5,-3.5,3.5,-3.5,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,5.449127199999566,,,,5.434865599999739,5.449127199999566,5.449127199999566,5.449127199999566,5.449127199999566,5.734720599999946,None,5.734966599999552,5.749119699999937,5.749119699999937,5.749119699999937,5.749119699999937,6.035835899999711,None,,,,,,,,,,,,,,,,,,,,,,,,,,434710,001,2025-03-24_15h06.27.221,Estimulo_ICE,2024.2.4,60.08640424926991,2025-03-24 15h06.32.734484 -0300,
