LoopName,thisN,thisTrialN,thisRepN,px1,px2,px3,px4,py1,py2,py3,py4,key_resp_2.keys,key_resp_3.keys,key_resp_2.rt,key_resp_2.duration,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,loop_1.thisRepN,loop_1.thisTrialN,loop_1.thisN,loop_1.thisIndex,loop_2.thisRepN,loop_2.thisTrialN,loop_2.thisN,loop_2.thisIndex,thisRow.t,notes,codigo.started,codigo.stopped,trial.started,image.started,image_2.started,polygon.started,key_resp_2.started,trial.stopped,loop_2.key_resp_2.keys,trial_2.started,image_3.started,image_4.started,polygon_2.started,key_resp_3.started,trial_2.stopped,loop_2.key_resp_3.keys,loop_2.key_resp_2.rt,loop_2.key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Estimulo_2,0,0,0,1.1,-1.1,1.1,-1.1,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,1,,,,,0,0,0,0,0.06836780000594445,,0.025943399989046156,0.026384099997812882,0.050579899980220944,0.06836780000594445,0.06836780000594445,0.06836780000594445,0.06836780000594445,0.33663760000490583,None,0.33685809999587946,0.351218499999959,0.351218499999959,0.351218499999959,0.351218499999959,0.6368959999817889,None,,,444555,001,2025-03-24_13h12.53.819,Estimulo_ICE,2024.2.4,59.99138523084709,2025-03-24 13h13.01.414226 -0300,
Estimulo_2,1,1,0,1.2,-1.2,1.2,-1.2,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,1,,,,,0,1,1,1,0.6512148999900091,,,,0.6372922000009567,0.6512148999900091,0.6512148999900091,0.6512148999900091,0.6512148999900091,0.9374680999899283,None,0.9377008999872487,0.9510655000049155,0.9510655000049155,0.9510655000049155,0.9510655000049155,1.236262699996587,None,,,444555,001,2025-03-24_13h12.53.819,Estimulo_ICE,2024.2.4,59.99138523084709,2025-03-24 13h13.01.414226 -0300,
Estimulo_2,2,2,0,1.3,-1.3,1.3,-1.3,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,1,,,,,0,2,2,2,1.2506906999915373,,,,1.2366272000072058,1.2506906999915373,1.2506906999915373,1.2506906999915373,1.2506906999915373,1.536613899981603,None,1.5368874999985565,1.551122899982147,1.551122899982147,1.551122899982147,1.551122899982147,1.826536299980944,None,,,444555,001,2025-03-24_13h12.53.819,Estimulo_ICE,2024.2.4,59.99138523084709,2025-03-24 13h13.01.414226 -0300,
Estimulo_2,3,3,0,1.4,-1.4,1.4,-1.4,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,1,,,,,0,3,3,3,1.8362919999926817,,,,1.8276971000013873,1.8362919999926817,1.8362919999926817,1.8362919999926817,1.8362919999926817,2.137134499993408,None,2.137425399996573,2.1511549999995623,2.1511549999995623,2.1511549999995623,2.1511549999995623,2.4364935999910813,None,,,444555,001,2025-03-24_13h12.53.819,Estimulo_ICE,2024.2.4,59.99138523084709,2025-03-24 13h13.01.414226 -0300,
Estimulo_2,4,4,0,1.5,-1.5,1.5,-1.5,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,1,,,,,0,4,4,4,2.451033199991798,,,,2.4368294999876525,2.451033199991798,2.451033199991798,2.451033199991798,2.451033199991798,2.7366812999825925,None,2.7369153999898117,2.7509676000045147,2.7509676000045147,2.7509676000045147,2.7509676000045147,3.036650699999882,None,,,444555,001,2025-03-24_13h12.53.819,Estimulo_ICE,2024.2.4,59.99138523084709,2025-03-24 13h13.01.414226 -0300,
Estimulo_2,5,5,0,1.6,-1.6,1.6,-1.6,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,1,,,,,0,5,5,5,3.0512296999804676,,,,3.037041500007035,3.0512296999804676,3.0512296999804676,3.0512296999804676,3.0512296999804676,3.336269999999786,None,3.336529199994402,3.350827799993567,3.350827799993567,3.350827799993567,3.350827799993567,3.6365850000001956,None,,,444555,001,2025-03-24_13h12.53.819,Estimulo_ICE,2024.2.4,59.99138523084709,2025-03-24 13h13.01.414226 -0300,
Estimulo_2,6,6,0,1.7,-1.7,1.7,-1.7,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,1,,,,,0,6,6,6,3.651122999988729,,,,3.63694269998814,3.651122999988729,3.651122999988729,3.651122999988729,3.651122999988729,3.9367941999807954,None,3.937047299987171,3.950938900001347,3.950938900001347,3.950938900001347,3.950938900001347,4.23652539998875,None,,,444555,001,2025-03-24_13h12.53.819,Estimulo_ICE,2024.2.4,59.99138523084709,2025-03-24 13h13.01.414226 -0300,
Estimulo_2,7,7,0,1.8,-1.8,1.8,-1.8,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,1,,,,,0,7,7,7,4.251002499979222,,,,4.236895499983802,4.251002499979222,4.251002499979222,4.251002499979222,4.251002499979222,4.536609300004784,None,4.536861900007352,4.551018700003624,4.551018700003624,4.551018700003624,4.551018700003624,4.8364489999949,None,,,444555,001,2025-03-24_13h12.53.819,Estimulo_ICE,2024.2.4,59.99138523084709,2025-03-24 13h13.01.414226 -0300,
Estimulo_2,8,8,0,1.9,-1.9,1.9,-1.9,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,1,,,,,0,8,8,8,4.851008199999342,,,,4.836808399995789,4.851008199999342,4.851008199999342,4.851008199999342,4.851008199999342,5.136777899984736,None,5.137028800003463,5.15104229998542,5.15104229998542,5.15104229998542,5.15104229998542,5.436610200005816,None,,,444555,001,2025-03-24_13h12.53.819,Estimulo_ICE,2024.2.4,59.99138523084709,2025-03-24 13h13.01.414226 -0300,
Estimulo_2,9,9,0,2,-2,2,-2,2.2,-2.2,-2.2,2.2,None,None,,,0,0,0,1,,,,,0,9,9,9,5.451117399992654,,,,5.436973400006536,5.451117399992654,5.451117399992654,5.451117399992654,5.451117399992654,5.736603199999081,None,5.736864100006642,5.75111789998482,5.75111789998482,5.75111789998482,5.75111789998482,6.036496699991403,None,,,444555,001,2025-03-24_13h12.53.819,Estimulo_ICE,2024.2.4,59.99138523084709,2025-03-24 13h13.01.414226 -0300,
