LoopName,thisN,thisTrialN,thisRepN,px1,px2,px3,px4,py1,py2,py3,py4,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,loop_1.thisRepN,loop_1.thisTrialN,loop_1.thisN,loop_1.thisIndex,loop_2.thisRepN,loop_2.thisTrialN,loop_2.thisN,loop_2.thisIndex,loop_3.thisRepN,loop_3.thisTrialN,loop_3.thisN,loop_3.thisIndex,loop_4.thisRepN,loop_4.thisTrialN,loop_4.thisN,loop_4.thisIndex,loop_5.thisRepN,loop_5.thisTrialN,loop_5.thisN,loop_5.thisIndex,loop_6.thisRepN,loop_6.thisTrialN,loop_6.thisN,loop_6.thisIndex,loop_7.thisRepN,loop_7.thisTrialN,loop_7.thisN,loop_7.thisIndex,loop_8.thisRepN,loop_8.thisTrialN,loop_8.thisN,loop_8.thisIndex,loop_9.thisRepN,loop_9.thisTrialN,loop_9.thisN,loop_9.thisIndex,loop_10.thisRepN,loop_10.thisTrialN,loop_10.thisN,loop_10.thisIndex,loop_11.thisRepN,loop_11.thisTrialN,loop_11.thisN,loop_11.thisIndex,loop_12.thisRepN,loop_12.thisTrialN,loop_12.thisN,loop_12.thisIndex,thisRow.t,notes,codigo.started,codigo.stopped,trial.started,image.started,image_2.started,polygon.started,trial.stopped,trial_2.started,image_3.started,image_4.started,polygon_2.started,trial_2.stopped,image_3.stopped,image_4.stopped,polygon_2.stopped,_intertrial_interval_.started,polygon_5.started,_intertrial_interval_.stopped,image.stopped,image_2.stopped,polygon.stopped,trial_3.started,image_5.started,image_6.started,polygon_3.started,trial_3.stopped,trial_4.started,image_7.started,image_8.started,polygon_4.started,trial_4.stopped,image_5.stopped,image_6.stopped,polygon_3.stopped,image_7.stopped,image_8.stopped,polygon_4.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
Estimulo_2,0,0,0,1.1,-1.1,1.1,-1.1,2.2,-2.2,-2.2,2.2,0,0,0,2,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06416300000000774,,0.031586000000061176,0.031984900000225025,0.05453070000021398,0.06416300000000774,0.06416300000000774,0.06416300000000774,0.33352370000011433,0.33383620000040537,0.34673960000009174,0.34673960000009174,0.34673960000009174,0.6324430000004213,,,,,,,,,,,,,,,,,,,,,,,,,,733003,001,2025-03-17_14h54.29.595,Estimulo_ICE,2024.2.4,59.97782020203209,2025-03-17 14h54.35.589250 -0300,
Estimulo_2,1,1,0,1.2,-1.2,1.2,-1.2,2.2,-2.2,-2.2,2.2,0,0,0,2,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6468343000001369,,,,0.6327895000003991,0.6468343000001369,0.6468343000001369,0.6468343000001369,0.9325007000002188,0.9327370000000883,0.9468037000001459,0.9468037000001459,0.9468037000001459,1.2323205000002417,,,,,,,,,,,,,,,,,,,,,,,,,,733003,001,2025-03-17_14h54.29.595,Estimulo_ICE,2024.2.4,59.97782020203209,2025-03-17 14h54.35.589250 -0300,
Estimulo_2,2,2,0,1.3,-1.3,1.3,-1.3,2.2,-2.2,-2.2,2.2,0,0,0,2,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2468507000003228,,,,1.232665100000304,1.2468507000003228,1.2468507000003228,1.2468507000003228,1.5323930000004111,1.5326286000004075,1.546716600000309,1.546716600000309,1.546716600000309,1.8324173000000883,,,,,,,,,,,,,,,,,,,,,,,,,,733003,001,2025-03-17_14h54.29.595,Estimulo_ICE,2024.2.4,59.97782020203209,2025-03-17 14h54.35.589250 -0300,
Estimulo_2,3,3,0,1.4,-1.4,1.4,-1.4,2.2,-2.2,-2.2,2.2,0,0,0,2,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8467932000003202,,,,1.8327620000000024,1.8467932000003202,1.8467932000003202,1.8467932000003202,2.1324150000000373,2.1326484000001074,2.1468274000003476,2.1468274000003476,2.1468274000003476,2.4323757000001933,,,,,,,,,,,,,,,,,,,,,,,,,,733003,001,2025-03-17_14h54.29.595,Estimulo_ICE,2024.2.4,59.97782020203209,2025-03-17 14h54.35.589250 -0300,
Estimulo_2,4,4,0,1.5,-1.5,1.5,-1.5,2.2,-2.2,-2.2,2.2,0,0,0,2,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4468783000002077,,,,2.4327187000003505,2.4468783000002077,2.4468783000002077,2.4468783000002077,2.73211050000009,2.732375700000375,2.746801900000264,2.746801900000264,2.746801900000264,3.0323232000000644,,,,,,,,,,,,,,,,,,,,,,,,,,733003,001,2025-03-17_14h54.29.595,Estimulo_ICE,2024.2.4,59.97782020203209,2025-03-17 14h54.35.589250 -0300,
Estimulo_2,5,5,0,1.6,-1.6,1.6,-1.6,2.2,-2.2,-2.2,2.2,0,0,0,2,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.046925700000429,,,,3.032669100000021,3.046925700000429,3.046925700000429,3.046925700000429,3.3323966000002656,3.332630800000061,3.3466146000000663,3.3466146000000663,3.3466146000000663,3.6325322000002416,,,,,,,,,,,,,,,,,,,,,,,,,,733003,001,2025-03-17_14h54.29.595,Estimulo_ICE,2024.2.4,59.97782020203209,2025-03-17 14h54.35.589250 -0300,
Estimulo_2,6,6,0,1.7,-1.7,1.7,-1.7,2.2,-2.2,-2.2,2.2,0,0,0,2,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.6465736000000106,,,,3.6328757000001133,3.6465736000000106,3.6465736000000106,3.6465736000000106,3.9324585000003935,3.9326953000004323,3.9466239000003043,3.9466239000003043,3.9466239000003043,4.232421300000169,,,,,,,,,,,,,,,,,,,,,,,,,,733003,001,2025-03-17_14h54.29.595,Estimulo_ICE,2024.2.4,59.97782020203209,2025-03-17 14h54.35.589250 -0300,
Estimulo_2,7,7,0,1.8,-1.8,1.8,-1.8,2.2,-2.2,-2.2,2.2,0,0,0,2,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.246822100000372,,,,4.232771800000137,4.246822100000372,4.246822100000372,4.246822100000372,4.532234600000265,4.5324712000001455,4.546796200000244,4.546796200000244,4.546796200000244,4.832488300000023,,,,,,,,,,,,,,,,,,,,,,,,,,733003,001,2025-03-17_14h54.29.595,Estimulo_ICE,2024.2.4,59.97782020203209,2025-03-17 14h54.35.589250 -0300,
Estimulo_2,8,8,0,1.9,-1.9,1.9,-1.9,2.2,-2.2,-2.2,2.2,0,0,0,2,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.846814600000016,,,,4.832835100000011,4.846814600000016,4.846814600000016,4.846814600000016,5.132339900000261,5.132577100000162,5.146882500000174,5.146882500000174,5.146882500000174,5.432237900000018,,,,,,,,,,,,,,,,,,,,,,,,,,733003,001,2025-03-17_14h54.29.595,Estimulo_ICE,2024.2.4,59.97782020203209,2025-03-17 14h54.35.589250 -0300,
Estimulo_2,9,9,0,2,-2,2,-2,2.2,-2.2,-2.2,2.2,0,0,0,2,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.446625300000051,,,,5.432584300000144,5.446625300000051,5.446625300000051,5.446625300000051,5.732391900000039,5.732627800000046,5.746810100000403,5.746810100000403,5.746810100000403,6.0324171000002025,,,,,,,,,,,,,,,,,,,,,,,,,,733003,001,2025-03-17_14h54.29.595,Estimulo_ICE,2024.2.4,59.97782020203209,2025-03-17 14h54.35.589250 -0300,
Estimulo_2,10,10,0,2.1,-2.1,2.1,-2.1,2.2,-2.2,-2.2,2.2,0,0,0,2,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.046770400000241,,,,6.032765400000244,6.046770400000241,6.046770400000241,6.046770400000241,6.332374800000252,6.332611300000281,6.346751700000368,6.346751700000368,6.346751700000368,6.6323912000002565,,,,,,,,,,,,,,,,,,,,,,,,,,733003,001,2025-03-17_14h54.29.595,Estimulo_ICE,2024.2.4,59.97782020203209,2025-03-17 14h54.35.589250 -0300,
Estimulo_2,11,11,0,2.2,-2.2,2.2,-2.2,2.2,-2.2,-2.2,2.2,0,0,0,2,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.6467609000001175,,,,6.6327329000000645,6.6467609000001175,6.6467609000001175,6.6467609000001175,6.932403500000419,6.932640500000161,6.9466073000003234,6.9466073000003234,6.9466073000003234,7.232173200000034,,,,,,,,,,,,,,,,,,,,,,,,,,733003,001,2025-03-17_14h54.29.595,Estimulo_ICE,2024.2.4,59.97782020203209,2025-03-17 14h54.35.589250 -0300,
Estimulo_2,12,12,0,2.3,-2.3,2.3,-2.3,2.2,-2.2,-2.2,2.2,0,0,0,2,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.246837000000141,,,,7.232519700000012,7.246837000000141,7.246837000000141,7.246837000000141,7.532377500000166,7.532615600000099,7.546591799999987,7.546591799999987,7.546591799999987,7.832357700000102,,,,,,,,,,,,,,,,,,,,,,,,,,733003,001,2025-03-17_14h54.29.595,Estimulo_ICE,2024.2.4,59.97782020203209,2025-03-17 14h54.35.589250 -0300,
Estimulo_2,13,13,0,2.4,-2.4,2.4,-2.4,2.2,-2.2,-2.2,2.2,0,0,0,2,,,,,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.846780700000181,,,,7.832702900000186,7.846780700000181,7.846780700000181,7.846780700000181,8.132200100000318,8.132440200000019,8.146834600000147,8.146834600000147,8.146834600000147,8.432287000000088,,,,,,,,,,,,,,,,,,,,,,,,,,733003,001,2025-03-17_14h54.29.595,Estimulo_ICE,2024.2.4,59.97782020203209,2025-03-17 14h54.35.589250 -0300,
Estimulo_2,14,14,0,2.5,-2.5,2.5,-2.5,2.2,-2.2,-2.2,2.2,0,0,0,2,,,,,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.446563400000286,,,,8.43260840000039,8.446563400000286,8.446563400000286,8.446563400000286,8.732306900000367,8.732540100000278,8.746850300000006,8.746850300000006,8.746850300000006,9.032197500000166,,,,,,,,,,,,,,,,,,,,,,,,,,733003,001,2025-03-17_14h54.29.595,Estimulo_ICE,2024.2.4,59.97782020203209,2025-03-17 14h54.35.589250 -0300,
Estimulo_2,15,15,0,2.6,-2.6,2.6,-2.6,2.2,-2.2,-2.2,2.2,0,0,0,2,,,,,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.046859200000199,,,,9.032544099999996,9.046859200000199,9.046859200000199,9.046859200000199,9.332329400000162,9.332563100000243,9.346759700000348,9.346759700000348,9.346759700000348,9.632423900000049,,,,,,,,,,,,,,,,,,,,,,,,,,733003,001,2025-03-17_14h54.29.595,Estimulo_ICE,2024.2.4,59.97782020203209,2025-03-17 14h54.35.589250 -0300,
Estimulo_2,16,16,0,2.7,-2.7,2.7,-2.7,2.2,-2.2,-2.2,2.2,0,0,0,2,,,,,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.64675010000019,,,,9.632769400000143,9.64675010000019,9.64675010000019,9.64675010000019,9.932317400000102,9.932552300000225,9.946588300000258,9.946588300000258,9.946588300000258,10.232354400000077,,,,,,,,,,,,,,,,,,,,,,,,,,733003,001,2025-03-17_14h54.29.595,Estimulo_ICE,2024.2.4,59.97782020203209,2025-03-17 14h54.35.589250 -0300,
Estimulo_2,17,17,0,2.8,-2.8,2.8,-2.8,2.2,-2.2,-2.2,2.2,0,0,0,2,,,,,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.246581400000196,,,,10.23269930000015,10.246581400000196,10.246581400000196,10.246581400000196,10.532208100000389,10.532445100000132,10.546729900000173,10.546729900000173,10.546729900000173,10.83234900000025,,,,,,,,,,,,,,,,,,,,,,,,,,733003,001,2025-03-17_14h54.29.595,Estimulo_ICE,2024.2.4,59.97782020203209,2025-03-17 14h54.35.589250 -0300,
Estimulo_2,18,18,0,2.9,-2.9,2.9,-2.9,2.2,-2.2,-2.2,2.2,0,0,0,2,,,,,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.846740500000124,,,,10.832692500000121,10.846740500000124,10.846740500000124,10.846740500000124,11.132210600000235,11.132449000000179,11.146761000000424,11.146761000000424,11.146761000000424,11.433790200000203,,,,,,,,,,,,,,,,,,,,,,,,,,733003,001,2025-03-17_14h54.29.595,Estimulo_ICE,2024.2.4,59.97782020203209,2025-03-17 14h54.35.589250 -0300,
Estimulo_2,19,19,0,3,-3,3,-3,2.2,-2.2,-2.2,2.2,0,0,0,2,,,,,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.446680200000173,,,,11.434262900000249,11.446680200000173,11.446680200000173,11.446680200000173,11.732268300000214,11.732510600000296,11.746486900000036,11.746486900000036,11.746486900000036,12.032339400000183,12.047516800000267,12.047516800000267,12.047516800000267,,,,,,,,,,,,,,,,,,,,,,,733003,001,2025-03-17_14h54.29.595,Estimulo_ICE,2024.2.4,59.97782020203209,2025-03-17 14h54.35.589250 -0300,
Estimulo_2,20,20,0,3.1,-3.1,3.1,-3.1,2.2,-2.2,-2.2,2.2,0,0,0,2,,,,,0,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.047516800000267,,,,12.032702000000427,12.047516800000267,12.047516800000267,12.047516800000267,12.334965600000032,12.33538980000003,12.347465800000009,12.347465800000009,12.347465800000009,12.632544000000053,,,,,,,,,,,,,,,,,,,,,,,,,,733003,001,2025-03-17_14h54.29.595,Estimulo_ICE,2024.2.4,59.97782020203209,2025-03-17 14h54.35.589250 -0300,
Estimulo_2,21,21,0,3.2,-3.2,3.2,-3.2,2.2,-2.2,-2.2,2.2,0,0,0,2,,,,,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.646729600000072,,,,12.632942000000185,12.646729600000072,12.646729600000072,12.646729600000072,12.932278600000245,12.932515899999999,12.946726100000433,12.946726100000433,12.946726100000433,13.232338800000434,,,,,,,,,,,,,,,,,,,,,,,,,,733003,001,2025-03-17_14h54.29.595,Estimulo_ICE,2024.2.4,59.97782020203209,2025-03-17 14h54.35.589250 -0300,
Estimulo_2,22,22,0,3.3,-3.3,3.3,-3.3,2.2,-2.2,-2.2,2.2,0,0,0,2,,,,,0,22,22,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.246574100000089,,,,13.23268250000001,13.246574100000089,13.246574100000089,13.246574100000089,13.532296100000167,13.532531900000322,13.546549099999993,13.546549099999993,13.546549099999993,13.832111500000337,,,,,,,,,,,,,,,,,,,,,,,,,,733003,001,2025-03-17_14h54.29.595,Estimulo_ICE,2024.2.4,59.97782020203209,2025-03-17 14h54.35.589250 -0300,
Estimulo_2,23,23,0,3.4,-3.4,3.4,-3.4,2.2,-2.2,-2.2,2.2,0,0,0,2,,,,,0,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.846757100000104,,,,13.83245850000003,13.846757100000104,13.846757100000104,13.846757100000104,14.13225870000042,14.132495700000163,14.146852800000033,14.146852800000033,14.146852800000033,14.432391400000142,,,,,,,,,,,,,,,,,,,,,,,,,,733003,001,2025-03-17_14h54.29.595,Estimulo_ICE,2024.2.4,59.97782020203209,2025-03-17 14h54.35.589250 -0300,
Estimulo_2,24,24,0,3.5,-3.5,3.5,-3.5,2.2,-2.2,-2.2,2.2,0,0,0,2,,,,,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.446698300000207,,,,14.432743800000026,14.446698300000207,14.446698300000207,14.446698300000207,14.732210600000144,14.732443500000045,14.746828800000003,14.746828800000003,14.746828800000003,15.032128900000316,,,,,,,,,,,,,,,,,,,,,,,,,,733003,001,2025-03-17_14h54.29.595,Estimulo_ICE,2024.2.4,59.97782020203209,2025-03-17 14h54.35.589250 -0300,
Estimulo_2,25,25,0,3.6,-3.6,3.6,-3.6,2.2,-2.2,-2.2,2.2,0,0,0,2,,,,,0,25,25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.046691600000031,,,,15.032473100000061,15.046691600000031,15.046691600000031,15.046691600000031,15.332282700000178,15.332528600000387,15.346748000000389,15.346748000000389,15.346748000000389,15.632172300000093,,,,,,,,,,,,,,,,,,,,,,,,,,733003,001,2025-03-17_14h54.29.595,Estimulo_ICE,2024.2.4,59.97782020203209,2025-03-17 14h54.35.589250 -0300,
