LoopName,thisN,thisTrialN,thisRepN,px1,px2,px3,px4,py1,py2,py3,py4,key_resp_4.keys,key_resp_5.keys,key_resp_5.rt,key_resp_5.duration,key_resp_4.rt,key_resp_4.duration,key_resp_6.keys,key_resp_7.keys,key_resp_7.rt,key_resp_7.duration,key_resp_6.rt,key_resp_6.duration,MainLoop.thisRepN,MainLoop.thisTrialN,MainLoop.thisN,MainLoop.thisIndex,loop_1.thisRepN,loop_1.thisTrialN,loop_1.thisN,loop_1.thisIndex,loop_2.thisRepN,loop_2.thisTrialN,loop_2.thisN,loop_2.thisIndex,loop_3.thisRepN,loop_3.thisTrialN,loop_3.thisN,loop_3.thisIndex,loop_4.thisRepN,loop_4.thisTrialN,loop_4.thisN,loop_4.thisIndex,loop_5.thisRepN,loop_5.thisTrialN,loop_5.thisN,loop_5.thisIndex,loop_6.thisRepN,loop_6.thisTrialN,loop_6.thisN,loop_6.thisIndex,loop_7.thisRepN,loop_7.thisTrialN,loop_7.thisN,loop_7.thisIndex,loop_8.thisRepN,loop_8.thisTrialN,loop_8.thisN,loop_8.thisIndex,loop_9.thisRepN,loop_9.thisTrialN,loop_9.thisN,loop_9.thisIndex,loop_10.thisRepN,loop_10.thisTrialN,loop_10.thisN,loop_10.thisIndex,loop_11.thisRepN,loop_11.thisTrialN,loop_11.thisN,loop_11.thisIndex,loop_12.thisRepN,loop_12.thisTrialN,loop_12.thisN,loop_12.thisIndex,thisRow.t,notes,salvar.started,salvar.stopped,codigo.started,codigo.stopped,trial_3.started,image_5.started,image_6.started,polygon_3.started,key_resp_4.started,trial_3.stopped,loop_5.key_resp_4.keys,trial_4.started,image_7.started,image_8.started,polygon_4.started,key_resp_5.started,image_7.stopped,image_8.stopped,polygon_4.stopped,key_resp_5.stopped,trial_4.stopped,loop_5.key_resp_5.keys,image_5.stopped,image_6.stopped,polygon_3.stopped,key_resp_4.stopped,loop_5.key_resp_5.rt,loop_5.key_resp_5.duration,loop_5.key_resp_4.rt,loop_5.key_resp_4.duration,_intertrial_interval_.started,polygon_5.started,_intertrial_interval_.stopped,trial_5.started,image_9.started,polygon_6.started,image_10.started,key_resp_6.started,trial_5.stopped,loop_10.key_resp_6.keys,trial_6.started,image_11.started,image_12.started,polygon_7.started,key_resp_7.started,trial_6.stopped,loop_10.key_resp_7.keys,loop_10.key_resp_7.rt,loop_10.key_resp_7.duration,loop_10.key_resp_6.rt,loop_10.key_resp_6.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01350060000004305,0.013927100000046266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,958610,001,2025-03-26_15h35.41.020,Estimulo_ICE,2024.2.4,60.05951898327824,2025-03-26 15h35.44.878721 -0300,
Estimulo_5,0,0,0,4.4,-4.4,4.4,-4.4,2.2,-2.2,-2.2,2.2,None,None,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.09397720000015397,,,,0.01857960000006642,0.018933199999992212,0.08276500000010856,0.09397720000015397,0.09397720000015397,0.09397720000015397,0.09397720000015397,0.3128845999999612,None,0.31313090000003285,0.32679849999999533,0.32679849999999533,0.32679849999999533,0.32679849999999533,0.6267526000001453,0.6267526000001453,0.6267526000001453,0.6267526000001453,0.6128539000001183,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,958610,001,2025-03-26_15h35.41.020,Estimulo_ICE,2024.2.4,60.05951898327824,2025-03-26 15h35.44.878721 -0300,
Estimulo_5,1,1,0,4.3,-4.3,4.3,-4.3,2.2,-2.2,-2.2,2.2,None,None,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6267526000001453,,,,,,0.6132293000000573,0.6267526000001453,0.6267526000001453,0.6267526000001453,0.6267526000001453,0.9126776000000518,None,0.9129450000000361,0.926807700000154,0.926807700000154,0.926807700000154,0.926807700000154,1.226814099999956,1.226814099999956,1.226814099999956,1.226814099999956,1.2127302999999756,None,0.926807700000154,0.926807700000154,0.926807700000154,0.926807700000154,,,,,,,,,,,,,,,,,,,,,,,,,,958610,001,2025-03-26_15h35.41.020,Estimulo_ICE,2024.2.4,60.05951898327824,2025-03-26 15h35.44.878721 -0300,
Estimulo_5,2,2,0,4.2,-4.2,4.2,-4.2,2.2,-2.2,-2.2,2.2,None,None,,,,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.226814099999956,,,,,,1.2131008999999722,1.226814099999956,1.226814099999956,1.226814099999956,1.226814099999956,1.5126741999999922,None,1.5129359000000022,1.5268820000001142,1.5268820000001142,1.5268820000001142,1.5268820000001142,1.8268238000000565,1.8268238000000565,1.8268238000000565,1.8268238000000565,1.8126127000000452,None,1.5268820000001142,1.5268820000001142,1.5268820000001142,1.5268820000001142,,,,,,,,,,,,,,,,,,,,,,,,,,958610,001,2025-03-26_15h35.41.020,Estimulo_ICE,2024.2.4,60.05951898327824,2025-03-26 15h35.44.878721 -0300,
Estimulo_5,3,3,0,4.1,-4.1,4.1,-4.1,2.2,-2.2,-2.2,2.2,None,['right'],[0.2729631999998219],[0.19113749999996799],,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8268238000000565,,,,,,1.8129988000000594,1.8268238000000565,1.8268238000000565,1.8268238000000565,1.8268238000000565,2.1556651000000784,None,2.1559566000000814,2.1592364000000543,2.1592364000000543,2.1592364000000543,2.1592364000000543,,,,,2.4129563000001326,['right'],2.1592364000000543,2.1592364000000543,2.1592364000000543,2.1592364000000543,[0.2729631999998219],[0.19113749999996799],,,,,,,,,,,,,,,,,,,,,,,,958610,001,2025-03-26_15h35.41.020,Estimulo_ICE,2024.2.4,60.05951898327824,2025-03-26 15h35.44.878721 -0300,
Estimulo_5,4,4,0,4,-4,4,-4,2.2,-2.2,-2.2,2.2,None,['right'],[0.22825349999993705],[None],,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4268116000000646,,,,,,2.413362300000017,2.4268116000000646,2.4268116000000646,2.4268116000000646,2.4268116000000646,2.7126878999999917,None,2.7129518000001553,2.726784899999984,2.726784899999984,2.726784899999984,2.726784899999984,3.0268475000000308,3.0268475000000308,3.0268475000000308,3.0268475000000308,3.012750800000049,['right'],2.726784899999984,2.726784899999984,2.726784899999984,2.726784899999984,[0.22825349999993705],[None],,,,,,,,,,,,,,,,,,,,,,,,958610,001,2025-03-26_15h35.41.020,Estimulo_ICE,2024.2.4,60.05951898327824,2025-03-26 15h35.44.878721 -0300,
Estimulo_5,5,5,0,3.9,-3.9,3.9,-3.9,2.2,-2.2,-2.2,2.2,None,['right'],[0.14812469999992572],[None],,,,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0268475000000308,,,,,,3.0131567000000814,3.0268475000000308,3.0268475000000308,3.0268475000000308,3.0268475000000308,3.312755100000004,None,3.313018700000157,3.3268024999999852,3.3268024999999852,3.3268024999999852,3.3268024999999852,3.626578699999982,3.626578699999982,3.626578699999982,3.626578699999982,3.612709799999948,['right'],3.3268024999999852,3.3268024999999852,3.3268024999999852,3.3268024999999852,[0.14812469999992572],[None],,,,,,,,,,,,,,,,,,,,,,,,958610,001,2025-03-26_15h35.41.020,Estimulo_ICE,2024.2.4,60.05951898327824,2025-03-26 15h35.44.878721 -0300,
Estimulo_5,6,6,0,3.8,-3.8,3.8,-3.8,2.2,-2.2,-2.2,2.2,['right'],"['right', 'right']","[0.0772921000000224, 0.25253700000007484]","[0.09595050000007177, None]",[0.17753609999999753],[None],,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.626578699999982,,,,,,3.613109300000133,3.626578699999982,3.626578699999982,3.626578699999982,3.626578699999982,3.9125000000001364,['right'],3.912763400000131,3.9268220000001293,3.9268220000001293,3.9268220000001293,3.9268220000001293,4.226757399999997,4.226757399999997,4.226757399999997,4.226757399999997,4.2127049000000625,"['right', 'right']",3.9268220000001293,3.9268220000001293,3.9268220000001293,3.9268220000001293,"[0.0772921000000224, 0.25253700000007484]","[0.09595050000007177, None]",[0.17753609999999753],[None],,,,,,,,,,,,,,,,,,,,,,958610,001,2025-03-26_15h35.41.020,Estimulo_ICE,2024.2.4,60.05951898327824,2025-03-26 15h35.44.878721 -0300,
Estimulo_5,7,7,0,3.7,-3.7,3.7,-3.7,2.2,-2.2,-2.2,2.2,['right'],['right'],[0.11620919999995749],[0.08042260000001988],[0.2401132999998481],[None],,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.226757399999997,,,,,,4.213108500000089,4.226757399999997,4.226757399999997,4.226757399999997,4.226757399999997,4.512701099999958,['right'],4.512994800000115,4.526712000000089,4.526712000000089,4.526712000000089,4.526712000000089,4.826771600000029,4.826771600000029,4.826771600000029,4.826771600000029,4.81269680000014,['right'],4.526712000000089,4.526712000000089,4.526712000000089,4.526712000000089,[0.11620919999995749],[0.08042260000001988],[0.2401132999998481],[None],,,,,,,,,,,,,,,,,,,,,,958610,001,2025-03-26_15h35.41.020,Estimulo_ICE,2024.2.4,60.05951898327824,2025-03-26 15h35.44.878721 -0300,
Estimulo_5,8,8,0,3.6,-3.6,3.6,-3.6,2.2,-2.2,-2.2,2.2,['up'],None,,,[0.05644860000006702],[0.1279316000000108],,,,,,,0,0,0,4,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.826771600000029,,,,,,4.813050599999997,4.826771600000029,4.826771600000029,4.826771600000029,4.826771600000029,5.112743399999999,['up'],5.113033600000108,5.126661100000092,5.126661100000092,5.126661100000092,5.126661100000092,5.426946000000044,5.426946000000044,5.426946000000044,5.426946000000044,5.412460200000169,None,5.126661100000092,5.126661100000092,5.126661100000092,5.126661100000092,,,[0.05644860000006702],[0.1279316000000108],,,,,,,,,,,,,,,,,,,,,,958610,001,2025-03-26_15h35.41.020,Estimulo_ICE,2024.2.4,60.05951898327824,2025-03-26 15h35.44.878721 -0300,
